日期,渠道,子渠道,安装成功人数,付费人数,收入,付费率,单安装收入,客单
2021-01-05,1003,6,643,47,253600,7.31%,3.94,53.96
2021-01-05,1003,7,30,1,5000,3.33%,1.67,50.00
2021-01-05,1003,8,218,16,168600,7.34%,7.73,105.38
2021-01-04,1003,6,630,62,313800,9.84%,4.98,50.61
2021-01-04,1003,7,24,1,3000,4.17%,1.25,30.00
2021-01-04,1003,8,204,13,69100,6.37%,3.39,53.15
2021-01-03,1003,6,467,41,203400,8.78%,4.36,49.61
2021-01-03,1003,7,25,1,5000,4.00%,2.00,50.00
2021-01-03,1003,8,242,6,25900,2.48%,1.07,43.17
2021-01-02,1003,6,438,44,212600,10.05%,4.85,48.32
2021-01-02,1003,7,30,2,6500,6.67%,2.17,32.50
2021-01-02,1003,8,283,21,98100,7.42%,3.47,46.71
2021-01-01,1003,6,540,39,197400,7.22%,3.66,50.62
2021-01-01,1003,7,36,1,19800,2.78%,5.50,198.00
2021-01-01,1003,8,282,12,61300,4.26%,2.17,51.08
2020-12-31,1003,6,640,34,153400,5.31%,2.40,45.12
2020-12-31,1003,7,28,None,None,None,None,None
2020-12-31,1003,8,282,12,53300,4.26%,1.89,44.42
2020-12-30,1003,6,669,50,327000,7.47%,4.89,65.40
2020-12-30,1003,7,23,4,12000,17.39%,5.22,30.00
2020-12-30,1003,8,247,11,44400,4.45%,1.80,40.36
2020-12-29,1003,6,668,44,223900,6.59%,3.35,50.89
2020-12-29,1003,7,31,2,13900,6.45%,4.48,69.50
2020-12-29,1003,8,306,18,102900,5.88%,3.36,57.17
2020-12-28,1003,6,533,35,169800,6.57%,3.19,48.51
2020-12-28,1003,7,19,1,3000,5.26%,1.58,30.00
2020-12-28,1003,8,335,23,130700,6.87%,3.90,56.83
2020-12-27,1003,6,499,34,164800,6.81%,3.30,48.47
2020-12-27,1003,7,18,1,3500,5.56%,1.94,35.00
2020-12-27,1003,8,327,14,62800,4.28%,1.92,44.86
2020-12-26,1003,6,519,32,161600,6.17%,3.11,50.50
2020-12-26,1003,7,24,1,3000,4.17%,1.25,30.00
2020-12-26,1003,8,363,22,105100,6.06%,2.90,47.77
2020-12-25,1003,6,549,44,204200,8.01%,3.72,46.41
2020-12-25,1003,7,11,None,None,None,None,None
2020-12-25,1003,8,363,27,106800,7.44%,2.94,39.56
2020-12-24,1003,6,561,40,177400,7.13%,3.16,44.35
2020-12-24,1003,7,31,1,3000,3.23%,0.97,30.00
2020-12-24,1003,8,238,16,92500,6.72%,3.89,57.81
2020-12-23,1003,6,636,43,223300,6.76%,3.51,51.93
2020-12-23,1003,7,20,None,None,None,None,None
2020-12-23,1003,8,248,11,39500,4.44%,1.59,35.91
2020-12-22,1003,6,611,46,215700,7.53%,3.53,46.89
2020-12-22,1003,7,14,1,3000,7.14%,2.14,30.00
2020-12-22,1003,8,206,15,73600,7.28%,3.57,49.07
2020-12-21,1003,6,610,44,216500,7.21%,3.55,49.20
2020-12-21,1003,7,14,None,None,None,None,None
2020-12-21,1003,8,216,10,62500,4.63%,2.89,62.50
2020-12-20,1003,6,552,52,236500,9.42%,4.28,45.48
2020-12-20,1003,7,20,2,11900,10.00%,5.95,59.50
2020-12-20,1003,8,286,14,60300,4.90%,2.11,43.07
2020-12-19,1003,6,592,45,219500,7.60%,3.71,48.78
2020-12-19,1003,7,29,1,3000,3.45%,1.03,30.00
2020-12-19,1003,8,356,16,60500,4.49%,1.70,37.81
2020-12-18,1003,6,588,38,157100,6.46%,2.67,41.34
2020-12-18,1003,7,31,2,6500,6.45%,2.10,32.50
2020-12-18,1003,8,389,19,95000,4.88%,2.44,50.00
2020-12-17,1003,6,536,42,193700,7.84%,3.61,46.12
2020-12-17,1003,7,21,1,3000,4.76%,1.43,30.00
2020-12-17,1003,8,474,34,176200,7.17%,3.72,51.82
2020-12-16,1003,6,523,38,156700,7.27%,3.00,41.24
2020-12-16,1003,7,18,1,5000,5.56%,2.78,50.00
2020-12-16,1003,8,460,25,96500,5.43%,2.10,38.60
2020-12-15,1003,6,506,36,163900,7.11%,3.24,45.53
2020-12-15,1003,7,21,4,31700,19.05%,15.10,79.25
2020-12-15,1003,8,394,24,121900,6.09%,3.09,50.79
2020-12-14,1003,6,502,42,205600,8.37%,4.10,48.95
2020-12-14,1003,7,23,2,13900,8.70%,6.04,69.50
2020-12-14,1003,8,331,19,99400,5.74%,3.00,52.32
2020-12-13,1003,6,448,34,194500,7.59%,4.34,57.21
2020-12-13,1003,7,31,1,5000,3.23%,1.61,50.00
2020-12-13,1003,8,511,27,155200,5.28%,3.04,57.48
2020-12-12,1003,6,552,32,138600,5.80%,2.51,43.31
2020-12-12,1003,7,32,1,3000,3.12%,0.94,30.00
2020-12-12,1003,8,632,33,151900,5.22%,2.40,46.03
2020-12-11,1003,6,531,39,179200,7.34%,3.37,45.95
2020-12-11,1003,7,26,3,9500,11.54%,3.65,31.67
2020-12-11,1003,8,545,49,265600,8.99%,4.87,54.20
2020-12-10,1003,6,584,37,154500,6.34%,2.65,41.76
2020-12-10,1003,7,24,None,None,None,None,None
2020-12-10,1003,8,465,23,134500,4.95%,2.89,58.48
2020-12-09,1003,6,440,26,158500,5.91%,3.60,60.96
2020-12-09,1003,7,21,None,None,None,None,None
2020-12-09,1003,8,397,19,95500,4.79%,2.41,50.26
2020-12-08,1003,6,374,23,112000,6.15%,2.99,48.70
2020-12-08,1003,7,9,1,19800,11.11%,22.00,198.00
2020-12-08,1003,8,208,11,43900,5.29%,2.11,39.91
2020-12-07,1003,6,69,6,21500,8.70%,3.12,35.83
2020-12-07,1003,7,3,None,None,None,None,None
2020-12-07,1003,8,13,None,None,None,None,None
2020-12-03,1003,6,1,None,None,None,None,None
2020-12-02,1003,6,1,None,None,None,None,None
2020-12-01,1003,6,1,None,None,None,None,None
