日期,TID1,TID2,安装,订单量,订单率,付费金额(分),单个安装收入
2021-01-04,200,16,398,10,2.513%,62000,1.558
2021-01-03,200,3,2046,14,0.684%,98800,0.483
2020-12-30,200,1,1495,9,0.602%,62000,0.415
2020-12-30,200,2,543,4,0.737%,28800,0.530
2020-12-25,200,1,3109,23,0.740%,214600,0.690
2020-12-19,200,16,218,10,4.587%,50700,2.326
2020-12-18,200,2,587,9,1.533%,83200,1.417
2020-12-17,200,16,109,1,0.917%,4800,0.440
2020-12-13,200,8,84,3,3.571%,16400,1.952
2020-12-10,200,10,271,7,2.583%,50400,1.860
2020-12-12,200,1,1533,14,0.913%,91200,0.595
2020-12-06,200,1,1284,15,1.168%,100000,0.779
2020-12-04,200,1,3661,28,0.765%,228400,0.624
2020-12-04,200,3,3735,28,0.750%,282000,0.755
2021-01-04,200,3,4886,33,0.675%,272800,0.558
2021-01-05,200,16,308,7,2.273%,46400,1.506
2021-01-05,200,2,612,6,0.980%,48400,0.791
2020-12-28,220,1,194,5,2.577%,30000,1.546
2020-12-18,200,1,3271,28,0.856%,200400,0.613
2020-12-16,200,10,278,14,5.036%,122600,4.410
2020-12-16,200,15,879,12,1.365%,73600,0.837
2020-12-15,200,10,274,6,2.190%,39600,1.445
2020-12-13,200,1,1876,14,0.746%,105200,0.561
2020-12-13,200,2,365,5,1.370%,39600,1.085
2020-12-11,200,1,3920,17,0.434%,136600,0.348
2020-12-12,200,3,2381,17,0.714%,95800,0.402
2020-12-07,200,2,826,11,1.332%,67600,0.818
2020-12-29,200,3,3911,27,0.690%,171400,0.438
2020-12-24,220,1,395,14,3.544%,71400,1.808
2020-12-20,200,16,182,7,3.846%,39600,2.176
2020-12-17,200,14,26,1,3.846%,8800,3.385
2020-12-13,200,10,126,5,3.968%,28000,2.222
2020-12-07,200,1,4313,26,0.603%,180600,0.419
2021-01-05,200,15,3015,24,0.796%,195300,0.648
2020-12-28,200,3,3982,27,0.678%,193000,0.485
2020-12-27,200,2,315,6,1.905%,35800,1.137
2020-12-25,200,2,465,5,1.075%,36800,0.791
2020-12-21,200,15,820,7,0.854%,49200,0.600
2020-12-22,200,15,829,6,0.724%,48400,0.584
2020-12-22,200,16,450,11,2.444%,58800,1.307
2020-12-22,200,3,4457,42,0.942%,302800,0.679
2020-12-23,200,10,13,3,23.077%,24400,18.769
2020-12-17,200,1,3339,23,0.689%,192400,0.576
2020-12-14,200,8,135,3,2.222%,20400,1.511
2020-12-16,200,2,626,6,0.958%,35800,0.572
2020-12-09,200,3,4539,37,0.815%,277600,0.612
2020-12-08,200,1,4484,34,0.758%,264400,0.590
2020-12-03,200,1,4661,38,0.815%,338000,0.725
2020-12-03,200,2,779,11,1.412%,67800,0.870
2020-12-01,200,3,4804,56,1.166%,367800,0.766
2020-12-02,200,10,45,1,2.222%,4800,1.067
2021-01-03,200,16,165,3,1.818%,20400,1.236
2021-01-03,200,2,327,6,1.835%,32800,1.003
2020-12-28,200,1,1757,12,0.683%,71600,0.408
2020-12-26,220,1,160,6,3.750%,49200,3.075
2020-12-24,200,1,3767,27,0.717%,164100,0.436
2020-12-23,200,15,867,10,1.153%,58800,0.678
2020-12-16,200,1,3457,20,0.579%,135600,0.392
2020-12-11,200,3,4166,30,0.720%,182300,0.438
2020-12-06,200,3,2003,20,0.999%,156400,0.781
2020-12-03,200,10,196,9,4.592%,54000,2.755
2021-01-05,200,1,1624,10,0.616%,60200,0.371
2021-01-02,200,16,116,2,1.724%,11600,1.000
2020-12-24,200,2,535,6,1.121%,36800,0.688
2020-12-23,200,2,572,6,1.049%,61600,1.077
2020-12-19,200,3,2311,26,1.125%,173700,0.752
2020-12-18,200,16,393,11,2.799%,66800,1.700
2020-12-10,200,8,163,3,1.840%,16400,1.006
2020-12-11,200,8,161,6,3.727%,45600,2.832
2021-01-02,200,1,1454,13,0.894%,85100,0.585
2021-01-03,200,1,1622,17,1.048%,119400,0.736
2020-12-31,210,2,35,1,2.857%,6800,1.943
2020-12-30,200,3,3704,26,0.702%,175200,0.473
2020-12-26,200,1,1485,9,0.606%,86800,0.585
2020-12-25,200,10,6,1,16.667%,4800,8.000
2020-12-21,200,16,332,11,3.313%,83600,2.518
2020-12-18,200,3,4165,29,0.696%,194400,0.467
2020-12-10,200,2,708,4,0.565%,27200,0.384
2020-12-08,200,2,737,10,1.357%,54200,0.735
2020-12-08,200,3,4461,28,0.628%,165200,0.370
2020-12-06,200,2,399,11,2.757%,68600,1.719
2020-12-04,200,8,24,1,4.167%,4800,2.000
2021-01-01,200,15,899,7,0.779%,41600,0.463
2021-01-01,200,3,1447,13,0.898%,91600,0.633
2020-12-28,200,10,5,1,20.000%,4800,9.600
2020-12-29,210,2,58,1,1.724%,6800,1.172
2020-12-25,200,3,3629,19,0.524%,124600,0.343
2020-12-25,220,1,241,10,4.149%,71600,2.971
2020-12-20,200,1,1403,8,0.570%,53900,0.384
2020-12-14,200,3,5045,42,0.833%,286500,0.568
2020-12-15,200,2,769,9,1.170%,59200,0.770
2020-12-13,200,3,2177,23,1.056%,140400,0.645
2020-12-10,200,1,4429,23,0.519%,193400,0.437
2020-12-06,200,10,105,4,3.810%,25200,2.400
2020-12-04,200,2,661,3,0.454%,16400,0.248
2020-12-02,200,3,3487,33,0.946%,239600,0.687
2021-01-02,200,2,281,2,0.712%,13600,0.484
2020-12-26,200,3,2136,18,0.843%,149400,0.699
2020-12-21,200,3,4390,38,0.866%,236100,0.538
2020-12-18,200,10,11,1,9.091%,4800,4.364
2020-12-18,200,15,808,6,0.743%,43600,0.540
2020-12-17,200,2,657,10,1.522%,61200,0.932
2020-12-17,200,8,39,2,5.128%,7800,2.000
2020-12-07,200,8,123,4,3.252%,21200,1.724
2020-12-08,200,10,302,7,2.318%,41600,1.377
2020-12-05,200,1,1390,10,0.719%,60800,0.437
2020-12-05,200,3,2093,15,0.717%,86200,0.412
2021-01-01,200,16,110,2,1.818%,11600,1.055
2020-12-28,200,2,601,6,0.998%,43600,0.725
2020-12-23,200,1,3584,25,0.698%,178200,0.497
2020-12-17,200,13,123,1,0.813%,8800,0.715
2020-12-17,200,15,789,4,0.507%,21200,0.269
2020-12-14,200,10,254,6,2.362%,30800,1.213
2020-12-15,200,1,3824,27,0.706%,191200,0.500
2021-01-04,200,15,3109,23,0.740%,166400,0.535
2021-01-05,200,3,4514,34,0.753%,225400,0.499
2020-12-31,200,3,3068,19,0.619%,109400,0.357
2020-12-31,220,2,205,6,2.927%,30800,1.502
2020-12-29,200,15,2250,21,0.933%,125800,0.559
2020-12-29,220,2,286,4,1.399%,29200,1.021
2020-12-27,220,1,145,7,4.828%,41600,2.869
2020-12-17,200,3,4359,33,0.757%,193900,0.445
2020-12-10,200,3,4833,31,0.641%,193300,0.400
2020-12-09,200,2,675,4,0.593%,62200,0.921
2020-12-08,200,8,129,1,0.775%,4800,0.372
2020-12-05,200,10,145,6,4.138%,53600,3.697
2020-12-06,200,8,53,2,3.774%,14400,2.717
2020-12-01,200,1,4366,38,0.870%,272400,0.624
2021-01-04,210,1,68,2,2.941%,9600,1.412
2021-01-01,200,2,210,6,2.857%,36800,1.752
2020-12-27,200,1,1136,8,0.704%,46400,0.408
2020-12-27,200,3,1911,12,0.628%,81200,0.425
2020-12-24,200,3,4261,36,0.845%,218400,0.513
2020-12-25,200,15,813,9,1.107%,66000,0.812
2020-12-20,200,3,2006,24,1.196%,174000,0.867
2020-12-16,200,3,4770,49,1.027%,310500,0.651
2020-12-11,200,2,670,11,1.642%,67800,1.012
2020-12-09,200,1,4254,31,0.729%,209600,0.493
2020-12-08,200,3,4461,28,0.628%,165200,0.370
2020-12-03,200,14,6,1,16.667%,3500,5.833
2020-12-01,200,2,701,6,0.856%,50400,0.719
