数据生成时间：2021-01-06 11:11
数据生成条件：
1. 时间范围：20210105
2. 时间单位：分日
3. 推广设备：移动设备，计算机

账户,日期,推广计划,展现,点击,消费,平均点击价格,点击率,网页转化,商桥转化,推广计划ID
"baidu-04海鸟B20KA02280","2021-01-05","行业定投-我的世界",3645,365,109.44,0.30,10.01%,0,0,128778578
"baidu-04海鸟B20KA02280","2021-01-05","行业定投-金山打字通",9716,1575,497.57,0.32,16.21%,0,0,128778582
"baidu-04海鸟B20KA02280","2021-01-05","第三方游戏-第五人格",928,62,18.72,0.30,6.68%,0,0,128778586
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-香肠派对",311,10,2.45,0.24,3.22%,0,0,128778588
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-优酷客户端",7804,97,29.23,0.30,1.24%,0,0,128778590
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-钉钉电脑版",4255,16,4.61,0.29,0.38%,0,0,128778593
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-谷歌浏览器",204575,3192,956.28,0.30,1.56%,0,0,128778594
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-steam",770,1,0.31,0.31,0.13%,0,0,128778597
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-QQ",31276,258,77.13,0.30,0.82%,0,0,128778600
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-QQ影音",7453,597,164.48,0.28,8.01%,0,0,128778602
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-QQ五笔",2002,195,51.59,0.26,9.74%,0,0,128778603
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-cad快速看图",10016,141,31.36,0.22,1.41%,0,0,128778605
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-IE浏览器",20429,324,84.17,0.26,1.59%,0,0,128778607
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-输入法-搜狗",90396,1295,428.87,0.33,1.43%,0,0,128778609
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-千牛",16327,331,99.69,0.30,2.03%,0,0,128778615
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-酷我音乐",21133,471,128.43,0.27,2.23%,0,0,128778616
"baidu-04海鸟B20KA02280","2021-01-05","行业定投-拼音输入法",16457,958,303.97,0.32,5.82%,0,0,129326831
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-WPS",13232,253,68.92,0.27,1.91%,0,0,131274891
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-微信",125401,3925,1667.07,0.42,3.13%,0,0,136207191
"baidu-04海鸟B20KA02280","2021-01-05","第三方软件-驱动精灵",50219,7073,2042.51,0.29,14.08%,0,0,142279757
"baidu-04海鸟B20KA02280","2021-01-05","公司软件-金山打字通",106,13,3.16,0.24,12.26%,0,0,128778581
