编号,日期,账户,推广计划,消耗,点击均价,点击数,展示数,点击率,有消耗词量
总计,--,--,--,6863.40,0.47,14728,117705,12.51%,974
1,2021-01-05,ruri38@sina.com,壁纸-天官赐福壁纸,6.30,0.45,14,200,7.00%,7
2,2021-01-05,ruri38@sina.com,壁纸-musedash的壁纸,4.50,0.45,10,56,17.86%,3
3,2021-01-05,ruri38@sina.com,壁纸-动态壁纸制作,4.95,0.45,11,38,28.95%,8
4,2021-01-05,ruri38@sina.com,壁纸-时钟,19.35,0.45,43,696,6.18%,22
5,2021-01-05,ruri38@sina.com,壁纸-屏保,34.51,0.45,77,1531,5.03%,19
6,2021-01-05,ruri38@sina.com,壁纸-鼠标,39.18,0.44,89,588,15.14%,25
7,2021-01-05,ruri38@sina.com,公司软件-动态壁纸,473.58,0.44,1080,2958,36.51%,3
8,2021-01-05,ruri38@sina.com,壁纸-锁屏壁纸,38.79,0.47,83,1684,4.93%,17
9,2021-01-05,ruri38@sina.com,壁纸-奥特曼,5.31,0.44,12,143,8.39%,5
10,2021-01-05,ruri38@sina.com,壁纸-蜡笔小新,3.60,0.45,8,193,4.15%,3
11,2021-01-05,ruri38@sina.com,壁纸-灌篮高手,0.90,0.45,2,24,8.33%,2
12,2021-01-05,ruri38@sina.com,壁纸-美少女战士,1.80,0.45,4,129,3.10%,4
13,2021-01-05,ruri38@sina.com,壁纸-桌面整理,19.11,0.46,42,1223,3.43%,10
14,2021-01-05,ruri38@sina.com,壁纸-一人之下壁纸,0.90,0.45,2,14,14.29%,1
15,2021-01-05,ruri38@sina.com,壁纸-只狼壁纸,0.90,0.45,2,34,5.88%,2
16,2021-01-05,ruri38@sina.com,壁纸-文艺,0.90,0.45,2,4,50.00%,1
17,2021-01-05,ruri38@sina.com,壁纸-魔道祖师,0.45,0.45,1,12,8.33%,1
18,2021-01-05,ruri38@sina.com,壁纸-银魂,0.36,0.36,1,6,16.67%,1
19,2021-01-05,ruri38@sina.com,壁纸-足球,0.90,0.45,2,5,40.00%,1
20,2021-01-05,ruri38@sina.com,壁纸-罪恶王冠,0.45,0.45,1,10,10.00%,1
21,2021-01-05,ruri38@sina.com,壁纸-百变小樱,0.90,0.45,2,18,11.11%,2
22,2021-01-05,ruri38@sina.com,壁纸-灵魂莲华,1.80,0.45,4,29,13.79%,2
23,2021-01-05,ruri38@sina.com,壁纸-温馨壁纸,0.90,0.45,2,4,50.00%,1
24,2021-01-05,ruri38@sina.com,壁纸-最终幻想,0.45,0.45,1,22,4.55%,1
25,2021-01-05,ruri38@sina.com,壁纸-文字,1.35,0.45,3,37,8.11%,3
26,2021-01-05,ruri38@sina.com,壁纸-我的世界,1.35,0.45,3,72,4.17%,1
