编号	日期	账户	推广计划	消耗	点击均价	点击数	展示数	点击率	有消耗词量
总计	--	--	--	29737.43	0.55	54468	511497	10.65%	1960
1	2021-01-05	liubaoxin@cmcm.com	公司软件-C盘瘦身	72.70	0.45	162	2988	5.42%	60
2	2021-01-05	liubaoxin@cmcm.com	第三方软件-AutoCAD	22.92	0.45	51	565	9.03%	25
3	2021-01-05	liubaoxin@cmcm.com	第三方软件-MindManager	0.90	0.45	2	116	1.72%	1
4	2021-01-05	liubaoxin@cmcm.com	第三方软件-泡泡加速器	38.70	0.45	86	311	27.65%	4
5	2021-01-05	liubaoxin@cmcm.com	第三方软件-WIFI共享大师	66.61	0.47	142	2992	4.75%	30
6	2021-01-05	liubaoxin@cmcm.com	第三方软件-Microsoft	10.80	0.45	24	1657	1.45%	8
7	2021-01-05	liubaoxin@cmcm.com	第三方软件-完美解码	4.50	0.45	10	299	3.34%	2
8	2021-01-05	liubaoxin@cmcm.com	第三方软件-cad快速看图	184.80	0.54	342	2834	12.07%	24
9	2021-01-05	liubaoxin@cmcm.com	第三方软件-Notepad	35.10	0.45	78	1063	7.34%	3
10	2021-01-05	liubaoxin@cmcm.com	第三方软件-Origin	53.10	0.45	118	1005	11.74%	4
11	2021-01-05	liubaoxin@cmcm.com	毒霸-杀软	7.98	0.44	18	915	1.97%	7
12	2021-01-05	liubaoxin@cmcm.com	第三方软件-PDF-竞品	5.85	0.45	13	740	1.76%	3
13	2021-01-05	liubaoxin@cmcm.com	第三方软件-直播云	6.30	0.45	14	78	17.95%	4
14	2021-01-05	liubaoxin@cmcm.com	第三方软件-classin	10.35	0.45	23	448	5.13%	6
15	2021-01-05	liubaoxin@cmcm.com	第三方软件-瞩目	43.65	0.45	97	1513	6.41%	18
16	2021-01-05	liubaoxin@cmcm.com	第三方软件-EV录屏	2.41	0.48	5	63	7.94%	3
17	2021-01-05	liubaoxin@cmcm.com	第三方软件-Everything	37.80	0.45	84	1332	6.31%	2
18	2021-01-05	liubaoxin@cmcm.com	第三方软件-韩语输入法	1.35	0.45	3	60	5.00%	2
19	2021-01-05	liubaoxin@cmcm.com	第三方软件-拼音输入法	97.02	0.45	216	5339	4.05%	26
20	2021-01-05	liubaoxin@cmcm.com	第三方软件-桌面日历	9.45	0.45	21	148	14.19%	5
21	2021-01-05	liubaoxin@cmcm.com	第三方软件-智能ABC	0.45	0.45	1	29	3.45%	1
22	2021-01-05	liubaoxin@cmcm.com	第三方软件-微师客户端	63.57	0.45	140	861	16.26%	17
23	2021-01-05	liubaoxin@cmcm.com	第三方软件-whatsapp	0.90	0.45	2	15	13.33%	1
24	2021-01-05	liubaoxin@cmcm.com	第三方软件-极点五笔输入法	48.79	0.46	105	548	19.16%	10
25	2021-01-05	liubaoxin@cmcm.com	第三方软件-得力OCR软件	0.45	0.45	1	1	100.00%	1
26	2021-01-05	liubaoxin@cmcm.com	第三方软件-AxureRp	4.05	0.45	9	122	7.38%	4
27	2021-01-05	liubaoxin@cmcm.com	第三方软件-飞信	1.00	0.50	2	56	3.57%	2
28	2021-01-05	liubaoxin@cmcm.com	第三方软件-QQ浏览器	279.05	0.51	543	6099	8.90%	15
29	2021-01-05	liubaoxin@cmcm.com	第三方软件-zoom视频会议	20.25	0.45	45	165	27.27%	9
30	2021-01-05	liubaoxin@cmcm.com	第三方软件-welink	3.33	0.48	7	44	15.91%	2
31	2021-01-05	liubaoxin@cmcm.com	第三方软件-学而思	0.90	0.45	2	8	25.00%	2
32	2021-01-05	liubaoxin@cmcm.com	第三方软件-香肠派对	6.75	0.45	15	68	22.06%	3
33	2021-01-05	liubaoxin@cmcm.com	第三方软件-洋葱教学	22.05	0.45	49	421	11.64%	5
34	2021-01-05	liubaoxin@cmcm.com	第三方软件-迷你世界	476.10	0.45	1058	6504	16.27%	27
35	2021-01-05	liubaoxin@cmcm.com	第三方软件-拳皇	100.10	0.45	223	1413	15.78%	22
36	2021-01-05	liubaoxin@cmcm.com	第三方软件-和平精英	5.85	0.45	13	53	24.53%	4
37	2021-01-05	liubaoxin@cmcm.com	第三方软件-我的世界	103.05	0.45	229	1417	16.16%	18
38	2021-01-05	liubaoxin@cmcm.com	第三方软件-部落冲突	2.88	0.48	6	45	13.33%	3
39	2021-01-05	liubaoxin@cmcm.com	第三方软件-雷电模拟器	392.22	0.45	872	4959	17.58%	14
40	2021-01-05	liubaoxin@cmcm.com	第三方软件-讯飞输入法	5.85	0.45	13	719	1.81%	2
41	2021-01-05	liubaoxin@cmcm.com	第三方软件-foxmail	46.67	0.48	98	1895	5.17%	11
42	2021-01-05	liubaoxin@cmcm.com	第三方软件-快剪辑	120.15	0.45	267	687	38.86%	10
43	2021-01-05	liubaoxin@cmcm.com	第三方软件-网易邮箱大师	82.34	0.45	183	2713	6.75%	22
44	2021-01-05	liubaoxin@cmcm.com	第三方软件-腾讯会议	7.23	0.45	16	2761	0.58%	7
45	2021-01-05	liubaoxin@cmcm.com	第三方软件-xmind	116.03	0.48	243	1289	18.85%	12
46	2021-01-05	liubaoxin@cmcm.com	第三方软件-向日葵	800.32	0.52	1551	8129	19.08%	15
