日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载1+2,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,186,309,猎豹免费WiFi,30,25,0,0,0,25,22,20,83.33%,88.00%,90.91%,66.67%,None,None,,,None,None,None,None,None
2020-12-30,186,381,一键root大师PC版,115,76,5,11,1,93,58,53,70.43%,71.60%,91.38%,46.09%,None,None,,,None,None,None,None,None
2020-12-30,186,66,万能五笔,1064,989,0,0,0,989,634,602,92.95%,64.11%,94.95%,56.58%,None,None,,,None,None,None,18,2.99%
2020-12-30,186,161,爱剪辑,265,221,0,0,0,221,138,128,83.40%,62.44%,92.75%,48.30%,None,None,,,None,None,None,None,None
2020-12-30,186,25,winrar解压软件,1180,970,0,0,0,970,607,563,82.20%,62.58%,92.75%,47.71%,None,None,,,None,None,None,11,1.95%
2020-12-30,186,153,洋葱数学,31,17,0,0,0,17,18,15,54.84%,105.88%,83.33%,48.39%,None,None,,,None,None,None,None,None
2020-12-30,186,31,酷我音乐,749,578,0,0,0,578,324,302,77.17%,56.06%,93.21%,40.32%,None,None,,,None,None,None,22,7.28%
2020-12-30,186,62,ps6,837,634,8,16,13,671,392,366,76.70%,61.06%,93.37%,43.73%,None,None,,,None,None,None,8,2.19%
2020-12-30,186,496,快剪辑,283,246,0,0,0,246,156,143,86.93%,63.41%,91.67%,50.53%,None,None,,,None,None,None,None,None
2020-12-30,186,407,火狐浏览器 收藏版,1178,1042,0,0,0,1042,621,579,88.46%,59.60%,93.24%,49.15%,None,None,,,None,None,None,30,5.18%
2020-12-30,186,369,microsoft visio 2013,40,32,0,0,0,32,31,28,80.00%,96.88%,90.32%,70.00%,None,None,,,None,None,None,None,None
2020-12-30,186,64,金山打字通,141,114,0,0,0,114,77,63,80.85%,67.54%,81.82%,44.68%,None,None,,,None,None,None,7,11.11%
2020-12-30,186,49,植物大战僵尸中文版,573,379,0,0,0,379,199,181,66.14%,52.51%,90.95%,31.59%,None,None,,,None,None,None,8,4.42%
2020-12-30,186,68,flash 非 ie,991,757,0,0,0,757,539,512,76.39%,71.20%,94.99%,51.66%,None,None,,,None,None,None,116,22.66%
2020-12-30,186,387,CCTalk,13,11,0,0,0,11,10,10,84.62%,90.91%,100.00%,76.92%,None,None,,,None,None,None,None,None
2020-12-30,186,28,暴风影音5,697,579,0,0,0,579,362,329,83.07%,62.52%,90.88%,47.20%,None,None,,,None,None,None,13,3.95%
2020-12-30,186,515,猿辅导客户端,80,70,0,0,0,70,39,36,87.50%,55.71%,92.31%,45.00%,None,None,,,None,None,None,None,None
2020-12-30,186,361,CAD快速看图,298,263,0,0,0,263,192,184,88.26%,73.00%,95.83%,61.74%,None,None,,,None,None,None,8,4.35%
2020-12-30,186,339,QQ浏览器,341,297,0,0,0,297,176,161,87.10%,59.26%,91.48%,47.21%,None,None,,,None,None,None,9,5.59%
2020-12-30,186,567,Notepad++,71,41,2,14,3,60,35,33,60.56%,81.40%,94.29%,46.48%,None,None,,,None,None,None,None,None
2020-12-30,186,76,千牛,844,653,20,20,10,703,420,393,79.74%,62.41%,93.57%,46.56%,None,None,,,None,None,None,14,3.56%
2020-12-30,186,110,QQ影音,32,19,4,2,1,26,19,19,71.88%,82.61%,100.00%,59.38%,None,None,,,None,None,None,None,None
2020-12-30,186,26,猎豹浏览器,331,269,0,0,0,269,191,180,81.27%,71.00%,94.24%,54.38%,None,None,,,None,None,None,13,7.22%
2020-12-30,186,37,阿里旺旺买家版,279,197,7,2,1,207,157,151,73.12%,76.96%,96.18%,54.12%,None,None,,,None,None,None,None,None
2020-12-30,186,344,WPS-PPT,381,313,0,0,0,313,201,187,82.15%,64.22%,93.03%,49.08%,None,None,,,None,None,None,8,4.28%
