日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载1+2,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,216,562,瞩目,199,159,12,11,1,183,119,109,85.93%,69.59%,91.60%,54.77%,None,None,,,None,None,None,7,6.42%
2020-12-30,216,48,光影魔术手,446,379,0,0,0,379,279,242,84.98%,73.61%,86.74%,54.26%,None,None,,,None,None,None,11,4.55%
2020-12-30,216,527,Minecraft,1323,811,0,0,0,811,548,477,61.30%,67.57%,87.04%,36.05%,None,None,,,None,None,None,18,3.77%
2020-12-30,216,617,C盘瘦身专家,1896,291,0,0,0,291,None,None,15.35%,None,None,None,None,None,None,None,None,None,None,None,None
2020-12-30,216,512,向日葵控制端,2760,1915,0,0,0,1915,1276,1153,69.38%,66.63%,90.36%,41.78%,None,None,,,None,None,None,25,2.17%
2020-12-30,216,399,wps2019,16439,11649,0,0,0,11649,6994,6226,70.86%,60.04%,89.02%,37.87%,None,None,,,None,None,None,142,2.28%
2020-12-30,216,286,逍遥笔手写输入法,273,157,0,0,0,157,111,96,57.51%,70.70%,86.49%,35.16%,None,None,,,None,None,None,None,None
2020-12-30,216,552,whatsapp,22,18,0,0,0,18,18,15,81.82%,100.00%,83.33%,68.18%,None,None,,,None,None,None,None,None
2020-12-30,216,17,搜狗拼音输入法,7847,6801,21,5,5,6832,4825,4357,86.94%,70.73%,90.30%,55.52%,None,None,,,None,None,None,89,2.04%
2020-12-30,216,43,QQ拼音,131,112,0,0,0,112,85,80,85.50%,75.89%,94.12%,61.07%,None,None,,,None,None,None,None,None
2020-12-30,216,516,小鱼易连,110,91,0,0,0,91,81,71,82.73%,89.01%,87.65%,64.55%,None,None,,,None,None,None,None,None
2020-12-30,216,65,极点五笔,42,28,0,0,0,28,49,43,66.67%,175.00%,87.76%,102.38%,None,None,,,None,None,None,None,None
2020-12-30,216,31,酷我音乐,563,450,0,0,0,450,318,276,79.93%,70.67%,86.79%,49.02%,None,None,,,None,None,None,17,6.16%
