数据生成时间：2020-12-31 11:24
数据生成条件：
1. 时间范围：20201230
2. 时间单位：合计
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-优酷客户端",121786333,8441,433,157.80,5.13%,0.36,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-驾考宝典",121786340,3543,8,2.43,0.23%,0.30,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-酷我音乐",121786341,75975,2167,843.32,2.85%,0.39,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-暴风影音",121786343,15501,1269,460.28,8.19%,0.36,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-植物大战僵尸",122122231,7982,1061,278.39,13.29%,0.26,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-王者荣耀PC版",122372818,1564,55,15.49,3.52%,0.28,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-我的世界",122408321,38455,2603,675.24,6.77%,0.26,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-和平精英",122419492,14259,103,28.38,0.72%,0.28,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-钉钉电脑版",122544734,58748,834,341.92,1.42%,0.41,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-zoom视频会议",122824455,557,105,33.00,18.85%,0.31,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-美图秀秀",122902400,63264,1894,582.74,2.99%,0.31,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-香肠派对",123187976,447,23,7.36,5.15%,0.32,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-cctalk",123216058,179,4,1.11,2.23%,0.28,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-火狐浏览器",123633509,17746,2554,889.76,14.39%,0.35,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-WPS-excel",124508595,191106,1730,619.18,0.91%,0.36,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-万能五笔",124508596,31828,1160,650.54,3.64%,0.56,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-WPS-word",124508597,123431,2357,693.89,1.91%,0.29,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-QQ五笔",124655010,1936,346,106.42,17.87%,0.31,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-千牛",128591252,7282,208,65.90,2.86%,0.32,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-迷你世界",128778675,13477,1711,439.09,12.70%,0.26,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-央视影音",128930672,4814,386,94.06,8.02%,0.24,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-快剪辑",128995933,4823,299,93.79,6.20%,0.31,0,0
"2020-12-30","baidu-重庆天极A19KA02248","公司软件-猎豹免费WIFI",129016606,2539,313,101.15,12.33%,0.32,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-光影魔术手",129173227,2035,3,0.83,0.15%,0.28,0,0
"2020-12-30","baidu-重庆天极A19KA02248","第三方软件-极品五笔输入法",129173229,2102,270,77.72,12.84%,0.29,0,0
