数据生成时间：2021-01-11 10:29
数据生成条件：
1. 时间范围：20210108至20210110
2. 时间单位：分日
3. 推广设备：计算机，移动设备

日期,账户,推广计划,推广计划ID,展现,点击,消费,点击率,平均点击价格,网页转化,商桥转化
"2021-01-08","蓝都hbljk-2","第三方软件-whatsapp",132016793,1070,6,1.26,0.56%,0.21,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-classin",132016796,605,191,61.13,31.57%,0.32,0,0
"2021-01-08","蓝都hbljk-2","行业定投-拼音输入法",132016800,21450,3206,1490.93,14.95%,0.47,0,0
"2021-01-08","蓝都hbljk-2","行业定投-五笔输入法",132016801,1393,75,27.11,5.38%,0.36,0,0
"2021-01-08","蓝都hbljk-2","行业定投-WPS-excel",132016802,601,61,20.46,10.15%,0.34,0,0
"2021-01-08","蓝都hbljk-2","行业定投-WPS办公软件",132016803,1237,196,60.22,15.84%,0.31,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-瞩目",132016806,2047,587,178.13,28.68%,0.30,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-桌面日历",132016807,4003,210,46.84,5.25%,0.22,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-洋葱教学",132016808,258,46,10.76,17.83%,0.23,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-智能ABC",132016809,245,45,11.62,18.37%,0.26,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-微师客户端",132016810,553,200,46.23,36.17%,0.23,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-万能五笔",132016812,48959,3841,2457.33,7.85%,0.64,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-网易邮箱大师",132016813,8773,1101,298.31,12.55%,0.27,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-芒果TV",132016814,451,7,1.41,1.55%,0.20,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-极点五笔输入法",132016816,1669,203,78.40,12.16%,0.39,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-极品五笔输入法",132016817,15074,1548,869.59,10.27%,0.56,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-光影魔术手",132016818,1261,14,3.39,1.11%,0.24,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-zoom视频会议",132016820,295,9,2.34,3.05%,0.26,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-WPS-PPT",132016822,16340,1275,411.90,7.80%,0.32,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-WPS-word",132016823,167666,3376,1062.72,2.01%,0.31,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-WPS",132016824,68300,3665,1351.52,5.37%,0.37,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-WPS-excel",132016825,247525,3022,1133.51,1.22%,0.38,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-网易云音乐",135820377,101570,721,251.34,0.71%,0.35,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-火狐浏览器",139172410,2316,14,4.90,0.60%,0.35,0,0
"2021-01-08","蓝都hbljk-2","第三方软件-暴风影音",142708328,3437,101,29.29,2.94%,0.29,0,0
