编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
总计,--,--,--,112621,14593,6797.97,12.96%,0.47,938
1,2020-12-30,ruri38@sina.com,壁纸-游戏,162,20,9.30,12.35%,0.47,8
2,2020-12-30,ruri38@sina.com,壁纸-天气之子,150,17,7.83,11.33%,0.46,3
3,2020-12-30,ruri38@sina.com,壁纸-汽车,163,9,4.05,5.52%,0.45,6
4,2020-12-30,ruri38@sina.com,壁纸-JOJO,53,4,1.80,7.55%,0.45,1
5,2020-12-30,ruri38@sina.com,壁纸-高达壁纸,62,8,3.60,12.90%,0.45,4
6,2020-12-30,ruri38@sina.com,壁纸-猫,38,3,1.35,7.89%,0.45,3
7,2020-12-30,ruri38@sina.com,壁纸-竞品软件,5374,478,222.90,8.89%,0.47,50
8,2020-12-30,ruri38@sina.com,壁纸-科幻,26,5,2.25,19.23%,0.45,4
9,2020-12-30,ruri38@sina.com,壁纸-动态壁纸制作,101,19,8.55,18.81%,0.45,13
10,2020-12-30,ruri38@sina.com,壁纸-海洋,26,4,1.80,15.38%,0.45,3
11,2020-12-30,ruri38@sina.com,壁纸-星球大战,10,2,0.90,20.00%,0.45,1
12,2020-12-30,ruri38@sina.com,壁纸-尼尔机械纪元,29,1,0.45,3.45%,0.45,1
13,2020-12-30,ruri38@sina.com,壁纸-魔法少女小圆,10,1,0.45,10.00%,0.45,1
14,2020-12-30,ruri38@sina.com,壁纸-古风壁纸,141,12,5.64,8.51%,0.47,3
15,2020-12-30,ruri38@sina.com,壁纸-时钟,635,45,20.25,7.09%,0.45,21
16,2020-12-30,ruri38@sina.com,壁纸-大海,12,3,1.35,25.00%,0.45,3
17,2020-12-30,ruri38@sina.com,壁纸-小埋壁纸,38,2,0.90,5.26%,0.45,1
18,2020-12-30,ruri38@sina.com,壁纸-灌篮高手,46,3,1.35,6.52%,0.45,3
19,2020-12-30,ruri38@sina.com,壁纸-狗狗,4,2,0.90,50.00%,0.45,1
20,2020-12-30,ruri38@sina.com,壁纸-蜡笔小新,186,5,2.25,2.69%,0.45,2
21,2020-12-30,ruri38@sina.com,壁纸-奥特曼,172,24,10.80,13.95%,0.45,5
22,2020-12-30,ruri38@sina.com,壁纸-插画,207,6,2.70,2.90%,0.45,3
23,2020-12-30,ruri38@sina.com,壁纸-美少女战士,40,4,1.80,10.00%,0.45,3
24,2020-12-30,ruri38@sina.com,壁纸-哆啦a梦,199,19,8.46,9.55%,0.45,6
25,2020-12-30,ruri38@sina.com,壁纸-七龙珠壁纸,282,3,1.35,1.06%,0.45,1
26,2020-12-30,ruri38@sina.com,壁纸-夏目友人帐,189,6,2.70,3.17%,0.45,3
27,2020-12-30,ruri38@sina.com,壁纸-阿狸,60,3,1.35,5.00%,0.45,1
28,2020-12-30,ruri38@sina.com,壁纸-神奇宝贝,6,1,0.45,16.67%,0.45,1
29,2020-12-30,ruri38@sina.com,壁纸-唯美,1159,111,49.95,9.58%,0.45,8
30,2020-12-30,ruri38@sina.com,壁纸-自然景观,254,24,10.80,9.45%,0.45,3
31,2020-12-30,ruri38@sina.com,壁纸-紫罗兰永恒花园,24,4,1.80,16.67%,0.45,2
32,2020-12-30,ruri38@sina.com,壁纸-屏保,1282,45,20.18,3.51%,0.45,14
33,2020-12-30,ruri38@sina.com,壁纸-柯南,19,1,0.45,5.26%,0.45,1
34,2020-12-30,ruri38@sina.com,壁纸-刺客伍六七,18,2,0.90,11.11%,0.45,1
35,2020-12-30,ruri38@sina.com,壁纸-篮球,441,13,5.77,2.95%,0.44,7
36,2020-12-30,ruri38@sina.com,壁纸-花,8,1,0.45,12.50%,0.45,1
37,2020-12-30,ruri38@sina.com,壁纸-02壁纸,338,31,14.45,9.17%,0.47,8
38,2020-12-30,ruri38@sina.com,壁纸-龙猫壁纸,90,5,2.16,5.56%,0.43,4
39,2020-12-30,ruri38@sina.com,壁纸-皮卡丘,2,1,0.45,50.00%,0.45,1
40,2020-12-30,ruri38@sina.com,壁纸-灵魂莲华,24,2,0.90,8.33%,0.45,1
41,2020-12-30,ruri38@sina.com,壁纸-鬼刀,579,68,31.02,11.74%,0.46,12
42,2020-12-30,ruri38@sina.com,壁纸-蕾姆壁纸,90,10,4.68,11.11%,0.47,5
43,2020-12-30,ruri38@sina.com,壁纸-文字,17,3,1.35,17.65%,0.45,2
44,2020-12-30,ruri38@sina.com,壁纸-天官赐福壁纸,317,18,8.10,5.68%,0.45,6
45,2020-12-30,ruri38@sina.com,壁纸-我的世界,45,3,1.35,6.67%,0.45,1
46,2020-12-30,ruri38@sina.com,壁纸-斗罗大陆,1,1,0.45,100.00%,0.45,1
47,2020-12-30,ruri38@sina.com,壁纸-鬼灭之刃,384,50,23.30,13.02%,0.47,7
48,2020-12-30,ruri38@sina.com,壁纸-天行九歌壁纸,18,3,1.35,16.67%,0.45,3
49,2020-12-30,ruri38@sina.com,壁纸-musedash的壁纸,72,14,6.30,19.44%,0.45,3
50,2020-12-30,ruri38@sina.com,壁纸-布朗熊,22,1,0.45,4.55%,0.45,1
51,2020-12-30,ruri38@sina.com,壁纸-小林家的龙女仆,2,1,0.45,50.00%,0.45,1
52,2020-12-30,ruri38@sina.com,壁纸-千与千寻,2,1,0.45,50.00%,0.45,1
53,2020-12-30,ruri38@sina.com,壁纸-哈利波特,6,1,0.45,16.67%,0.45,1
54,2020-12-30,ruri38@sina.com,壁纸-EVA,33,1,0.45,3.03%,0.45,1
