编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
总计,--,--,--,523818,53913,29346.53,10.29%,0.54,1907
1,2020-12-30,liubaoxin@cmcm.com,第三方软件-teamviewer,2870,153,71.45,5.33%,0.47,17
2,2020-12-30,liubaoxin@cmcm.com,第三方软件-WPS-excel,4348,270,121.25,6.21%,0.45,53
3,2020-12-30,liubaoxin@cmcm.com,第三方软件-极品五笔输入法,933,155,73.78,16.61%,0.48,15
4,2020-12-30,liubaoxin@cmcm.com,第三方软件-猎豹免费WIFI,1695,65,29.25,3.83%,0.45,10
5,2020-12-30,liubaoxin@cmcm.com,第三方软件-AxureRp,76,4,1.80,5.26%,0.45,1
6,2020-12-30,liubaoxin@cmcm.com,第三方软件-一键ROOT大师,1360,148,66.60,10.88%,0.45,12
7,2020-12-30,liubaoxin@cmcm.com,第三方软件-FlashPlayer,7215,991,446.03,13.74%,0.45,38
8,2020-12-30,liubaoxin@cmcm.com,第三方软件-美图秀秀,14477,491,220.95,3.39%,0.45,14
9,2020-12-30,liubaoxin@cmcm.com,第三方软件-植物大战僵尸,5907,681,300.03,11.53%,0.44,10
10,2020-12-30,liubaoxin@cmcm.com,第三方软件-雷电模拟器,5708,595,267.57,10.42%,0.45,15
11,2020-12-30,liubaoxin@cmcm.com,第三方软件-网易云音乐,61427,3326,1595.83,5.41%,0.48,20
12,2020-12-30,liubaoxin@cmcm.com,第三方软件-QQ拼音,1750,36,17.28,2.06%,0.48,6
13,2020-12-30,liubaoxin@cmcm.com,第三方软件-新微信PC版,101333,12195,8138.75,12.03%,0.67,92
14,2020-12-30,liubaoxin@cmcm.com,第三方软件-xmind,1082,171,76.71,15.80%,0.45,9
15,2020-12-30,liubaoxin@cmcm.com,公司软件-猎豹浏览器,8835,464,207.38,5.25%,0.45,32
16,2020-12-30,liubaoxin@cmcm.com,第三方软件-万能五笔,8770,1289,682.46,14.70%,0.53,61
17,2020-12-30,liubaoxin@cmcm.com,第三方软件-zoom视频会议,261,74,33.30,28.35%,0.45,11
18,2020-12-30,liubaoxin@cmcm.com,第三方软件-网易邮箱大师,2134,179,80.55,8.39%,0.45,22
19,2020-12-30,liubaoxin@cmcm.com,第三方软件-狸窝全能视频转换器,141,29,13.05,20.57%,0.45,6
20,2020-12-30,liubaoxin@cmcm.com,第三方软件-腾讯视频,10061,133,59.85,1.32%,0.45,13
21,2020-12-30,liubaoxin@cmcm.com,第三方软件-迷你世界,6624,1163,523.26,17.56%,0.45,33
22,2020-12-30,liubaoxin@cmcm.com,第三方软件-驱动精灵,15203,1758,1010.02,11.56%,0.57,20
23,2020-12-30,liubaoxin@cmcm.com,第三方软件-钉钉电脑版,15768,2255,1306.30,14.30%,0.58,44
24,2020-12-30,liubaoxin@cmcm.com,第三方软件-Notepad,959,88,39.60,9.18%,0.45,3
25,2020-12-30,liubaoxin@cmcm.com,第三方软件-PDF,4086,251,137.58,6.14%,0.55,35
26,2020-12-30,liubaoxin@cmcm.com,第三方软件-飞信,44,2,1.00,4.55%,0.50,2
27,2020-12-30,liubaoxin@cmcm.com,公司软件-C盘瘦身,2236,117,52.45,5.23%,0.45,55
28,2020-12-30,liubaoxin@cmcm.com,第三方软件-泡泡加速器,278,97,43.65,34.89%,0.45,5
29,2020-12-30,liubaoxin@cmcm.com,第三方软件-向日葵,7826,1371,705.04,17.52%,0.51,16
30,2020-12-30,liubaoxin@cmcm.com,第三方软件-QQ音乐,213,7,3.15,3.29%,0.45,4
31,2020-12-30,liubaoxin@cmcm.com,第三方软件-洋葱教学,515,47,21.15,9.13%,0.45,5
32,2020-12-30,liubaoxin@cmcm.com,第三方软件-photoshopcs6,8983,1026,501.35,11.42%,0.49,79
33,2020-12-30,liubaoxin@cmcm.com,毒霸-杀软,537,19,8.55,3.54%,0.45,6
34,2020-12-30,liubaoxin@cmcm.com,第三方软件-香肠派对,129,27,12.15,20.93%,0.45,2
35,2020-12-30,liubaoxin@cmcm.com,第三方软件-CAJViewer,3427,390,186.78,11.38%,0.48,25
36,2020-12-30,liubaoxin@cmcm.com,第三方软件-腾讯会议,2834,7,3.18,0.25%,0.45,6
37,2020-12-30,liubaoxin@cmcm.com,第三方软件-QQ,17335,590,303.43,3.40%,0.51,52
38,2020-12-30,liubaoxin@cmcm.com,第三方软件-韩语输入法,75,6,2.70,8.00%,0.45,3
39,2020-12-30,liubaoxin@cmcm.com,第三方软件-爱剪辑,1278,314,141.30,24.57%,0.45,18
40,2020-12-30,liubaoxin@cmcm.com,第三方软件-QQ影音,2465,62,28.14,2.52%,0.45,9
41,2020-12-30,liubaoxin@cmcm.com,第三方软件-微师客户端,513,115,52.69,22.42%,0.46,15
42,2020-12-30,liubaoxin@cmcm.com,第三方软件-和平精英,127,14,6.30,11.02%,0.45,4
43,2020-12-30,liubaoxin@cmcm.com,第三方软件-classin,489,25,11.25,5.11%,0.45,9
44,2020-12-30,liubaoxin@cmcm.com,第三方软件-全民K歌,5493,1091,486.47,19.86%,0.45,14
45,2020-12-30,liubaoxin@cmcm.com,第三方软件-WPS-ppt,2009,453,203.61,22.55%,0.45,20
46,2020-12-30,liubaoxin@cmcm.com,第三方软件-cctalk,576,26,11.70,4.51%,0.45,6
47,2020-12-30,liubaoxin@cmcm.com,第三方软件-MindManager,8,1,0.45,12.50%,0.45,1
48,2020-12-30,liubaoxin@cmcm.com,第三方软件-Adobe Reader,728,119,54.17,16.35%,0.46,10
49,2020-12-30,liubaoxin@cmcm.com,第三方软件-WPS,26558,5395,3001.07,20.31%,0.56,144
50,2020-12-30,liubaoxin@cmcm.com,第三方软件-我的世界,1395,297,133.65,21.29%,0.45,17
51,2020-12-30,liubaoxin@cmcm.com,公司软件-金山打字通,1453,185,95.85,12.73%,0.52,20
52,2020-12-30,liubaoxin@cmcm.com,第三方软件-AutoCAD,562,56,25.20,9.96%,0.45,20
53,2020-12-30,liubaoxin@cmcm.com,第三方软件-千牛,3273,941,440.21,28.75%,0.47,30
54,2020-12-30,liubaoxin@cmcm.com,第三方软件-部落冲突,28,5,2.40,17.86%,0.48,3
55,2020-12-30,liubaoxin@cmcm.com,第三方软件-阿里旺旺,3082,338,159.72,10.97%,0.47,18
56,2020-12-30,liubaoxin@cmcm.com,第三方软件-小鱼易连,834,189,93.20,22.66%,0.49,7
57,2020-12-30,liubaoxin@cmcm.com,第三方软件-Microsoft,1197,26,11.70,2.17%,0.45,10
58,2020-12-30,liubaoxin@cmcm.com,第三方软件-谷歌浏览器,28124,3069,1850.18,10.91%,0.60,85
59,2020-12-30,liubaoxin@cmcm.com,第三方软件-新酷我音乐,5301,926,456.95,17.47%,0.49,13
60,2020-12-30,liubaoxin@cmcm.com,第三方软件-Origin,1464,174,78.30,11.89%,0.45,4
61,2020-12-30,liubaoxin@cmcm.com,第三方软件-CorelDRAW,307,21,9.45,6.84%,0.45,6
62,2020-12-30,liubaoxin@cmcm.com,第三方软件-企业微信,4346,172,84.39,3.96%,0.49,12
63,2020-12-30,liubaoxin@cmcm.com,第三方软件-foxmail,1830,76,36.58,4.15%,0.48,11
64,2020-12-30,liubaoxin@cmcm.com,第三方软件-智能ABC,84,6,2.70,7.14%,0.45,4
65,2020-12-30,liubaoxin@cmcm.com,第三方软件-王者荣耀PC版,9811,163,73.35,1.66%,0.45,5
66,2020-12-30,liubaoxin@cmcm.com,第三方软件-讯飞输入法,787,14,6.30,1.78%,0.45,5
67,2020-12-30,liubaoxin@cmcm.com,第三方软件-直播云,132,18,8.10,13.64%,0.45,5
68,2020-12-30,liubaoxin@cmcm.com,第三方软件-分区助手,1237,52,23.08,4.20%,0.44,6
69,2020-12-30,liubaoxin@cmcm.com,第三方软件-QQ浏览器,5704,464,234.40,8.13%,0.51,16
70,2020-12-30,liubaoxin@cmcm.com,第三方软件-比特精灵,175,8,3.60,4.57%,0.45,2
71,2020-12-30,liubaoxin@cmcm.com,第三方软件-拳皇,1605,224,100.36,13.96%,0.45,19
72,2020-12-30,liubaoxin@cmcm.com,第三方软件-极点五笔输入法,494,93,43.51,18.83%,0.47,11
73,2020-12-30,liubaoxin@cmcm.com,第三方软件-EV录屏,13,3,1.47,23.08%,0.49,3
74,2020-12-30,liubaoxin@cmcm.com,第三方软件-whatsapp,14,4,1.80,28.57%,0.45,1
75,2020-12-30,liubaoxin@cmcm.com,第三方软件-光影魔术手,1490,267,145.01,17.92%,0.54,11
76,2020-12-30,liubaoxin@cmcm.com,第三方软件-暴风影音,3677,738,340.91,20.07%,0.46,18
77,2020-12-30,liubaoxin@cmcm.com,第三方软件-rar解压软件,18594,1417,740.16,7.62%,0.52,113
78,2020-12-30,liubaoxin@cmcm.com,第三方软件-WPS2019,153,38,17.10,24.84%,0.45,9
79,2020-12-30,liubaoxin@cmcm.com,第三方软件-WPS-word,9673,1139,512.43,11.78%,0.45,79
80,2020-12-30,liubaoxin@cmcm.com,第三方软件-酷狗音乐,21978,1493,726.13,6.79%,0.49,30
81,2020-12-30,liubaoxin@cmcm.com,第三方软件-拼音输入法,5138,245,109.59,4.77%,0.45,27
82,2020-12-30,liubaoxin@cmcm.com,第三方软件-Microsoft Visio,1720,70,31.50,4.07%,0.45,30
83,2020-12-30,liubaoxin@cmcm.com,第三方软件-Everything,1194,38,17.10,3.18%,0.45,3
84,2020-12-30,liubaoxin@cmcm.com,第三方软件-猿辅导,591,106,48.74,17.94%,0.46,11
85,2020-12-30,liubaoxin@cmcm.com,第三方软件-完美解码,426,13,5.85,3.05%,0.45,2
86,2020-12-30,liubaoxin@cmcm.com,第三方软件-QQ五笔,327,21,9.45,6.42%,0.45,6
87,2020-12-30,liubaoxin@cmcm.com,第三方软件-itunes,751,12,5.40,1.60%,0.45,4
88,2020-12-30,liubaoxin@cmcm.com,第三方软件-PDF-竞品,768,11,4.95,1.43%,0.45,8
89,2020-12-30,liubaoxin@cmcm.com,第三方软件-cad快速看图,3008,363,190.29,12.07%,0.52,26
90,2020-12-30,liubaoxin@cmcm.com,第三方软件-WIFI共享大师,2278,116,55.11,5.09%,0.48,26
91,2020-12-30,liubaoxin@cmcm.com,第三方软件-快剪辑,879,349,157.05,39.70%,0.45,11
