日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-QQ,39009,183,0.47%,62.11,0.34
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-微师客户端,1780,136,7.64%,45.89,0.34
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-QQ影音,14540,200,1.38%,62.13,0.31
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-千牛,10486,262,2.5%,102.82,0.39
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-暴风影音,11578,433,3.74%,137.18,0.32
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-万能五笔,1843,48,2.6%,19.38,0.4
2020-12-30,uwhqai05cg74@163.com,搜索推广,公司软件-猎豹免费WIFI,1962,52,2.65%,18.27,0.35
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-EV录屏,6713,10,0.15%,3.02,0.3
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-whatsapp,237,3,1.27%,0.9,0.3
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-photoshopcs6,15195,12,0.08%,4.47,0.37
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-钉钉电脑版,21147,30,0.14%,11.11,0.37
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-芒果TV,3849,48,1.25%,15.21,0.32
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-网易云音乐,48508,466,0.96%,139.8,0.3
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-Rar解压软件,12377,477,3.85%,155.68,0.33
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-WPS-word,23966,1765,7.36%,581.65,0.33
2020-12-30,uwhqai05cg74@163.com,搜索推广,公司软件-C盘瘦身,25212,1326,5.26%,487.71,0.37
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-金山打字通,37404,1838,4.91%,624.71,0.34
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-WPS-excel,34909,2090,5.99%,751.36,0.36
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-搜狗输入法,46230,2083,4.51%,928.26,0.45
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-我的世界,26675,948,3.55%,290.68,0.31
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-FlashPlayer,20724,800,3.86%,286.45,0.36
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-美图秀秀,52042,545,1.05%,205.64,0.38
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-极品五笔输入法,4809,418,8.69%,165.9,0.4
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-阿里旺旺,4220,651,15.43%,236.74,0.36
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-驱动精灵,19033,679,3.57%,242.76,0.36
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-微信,76160,871,1.14%,261.97,0.3
2020-12-30,uwhqai05cg74@163.com,搜索推广,第三方软件-WPS,171232,4596,2.68%,1933.57,0.42
