日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2020-12-30,北京猎豹移动,搜索推广,第三方软件-小鱼易连,2122,132,6.22%,39.45,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-Rar解压软件,3637,111,3.05%,40.32,0.36
2020-12-30,北京猎豹移动,搜索推广,第三方软件-QQ影音,6572,111,1.69%,34.97,0.32
2020-12-30,北京猎豹移动,搜索推广,第三方软件-photoshopcs6,19888,74,0.37%,28.05,0.38
2020-12-30,北京猎豹移动,搜索推广,第三方软件-芒果TV,2518,86,3.42%,27.6,0.32
2020-12-30,北京猎豹移动,搜索推广,第三方软件-全民K歌,2786,165,5.92%,50.11,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-QQ拼音,8219,152,1.85%,51.49,0.34
2020-12-30,北京猎豹移动,搜索推广,第三方软件-荒野行动,2099,255,12.15%,76.67,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-万能五笔,6788,135,1.99%,73.76,0.55
2020-12-30,北京猎豹移动,搜索推广,第三方软件-cctalk,1405,158,11.25%,59.78,0.38
2020-12-30,北京猎豹移动,搜索推广,第三方软件-瞩目,1457,164,11.26%,57.95,0.35
2020-12-30,北京猎豹移动,搜索推广,第三方软件-极点五笔输入法,8510,78,0.92%,23.8,0.31
2020-12-30,北京猎豹移动,搜索推广,第三方软件-暴风影音,1719,71,4.13%,21.38,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-王者荣耀PC版,3323,23,0.69%,6.9,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-Visio,2052,22,1.07%,6.6,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-优酷客户端,886,14,1.58%,4.21,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-陌陌电脑版,405,14,3.46%,4.2,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-EV录屏,5171,22,0.43%,7.36,0.33
2020-12-30,北京猎豹移动,搜索推广,第三方软件-网易邮箱大师,480,44,9.17%,13.12,0.3
2020-12-30,北京猎豹移动,搜索推广,公司软件-猎豹免费WIFI,800,58,7.25%,19.17,0.33
2020-12-30,北京猎豹移动,搜索推广,第三方软件-微师客户端,680,54,7.94%,16.24,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-whatsapp,789,53,6.72%,15.85,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-QQ五笔,1274,45,3.53%,14.22,0.32
2020-12-30,北京猎豹移动,搜索推广,第三方软件-zoom视频会议,1418,210,14.81%,80.97,0.39
2020-12-30,北京猎豹移动,搜索推广,第三方软件-逍遥笔手写输入法,4659,241,5.17%,84.71,0.35
2020-12-30,北京猎豹移动,搜索推广,第三方软件-极品五笔输入法,10866,1058,9.74%,494,0.47
2020-12-30,北京猎豹移动,搜索推广,第三方软件-千牛,14456,769,5.32%,383.36,0.5
2020-12-30,北京猎豹移动,搜索推广,第三方软件-美图秀秀,28937,616,2.13%,224.41,0.36
2020-12-30,北京猎豹移动,搜索推广,第三方软件-雷电模拟器,21615,660,3.05%,221.03,0.33
2020-12-30,北京猎豹移动,搜索推广,第三方软件-FlashPlayer,31879,1330,4.17%,595.3,0.45
2020-12-30,北京猎豹移动,搜索推广,第三方软件-WPS-excel,41567,2216,5.33%,920.07,0.42
2020-12-30,北京猎豹移动,搜索推广,第三方软件-驱动精灵,59823,4923,8.23%,1929.29,0.39
2020-12-30,北京猎豹移动,搜索推广,第三方软件-搜狗输入法,46939,3395,7.23%,1733.59,0.51
2020-12-30,北京猎豹移动,搜索推广,第三方软件-WPS-word,47087,3216,6.83%,1207.01,0.38
2020-12-30,北京猎豹移动,搜索推广,第三方软件-向日葵,36030,2749,7.63%,961.81,0.35
2020-12-30,北京猎豹移动,搜索推广,第三方软件-搜狗五笔,38892,597,1.54%,212.52,0.36
2020-12-30,北京猎豹移动,搜索推广,第三方软件-cad快速看图,10840,394,3.63%,203.02,0.52
2020-12-30,北京猎豹移动,搜索推广,第三方软件-QQ,26340,347,1.32%,122.52,0.35
2020-12-30,北京猎豹移动,搜索推广,第三方软件-酷我音乐,7353,335,4.56%,100.25,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-微信,18847,257,1.36%,98.2,0.38
2020-12-30,北京猎豹移动,搜索推广,第三方软件-腾讯会议,8116,275,3.39%,96.35,0.35
2020-12-30,北京猎豹移动,搜索推广,第三方软件-钉钉电脑版,17777,326,1.83%,123,0.38
2020-12-30,北京猎豹移动,搜索推广,第三方软件-香肠派对,4274,468,10.95%,141.52,0.3
2020-12-30,北京猎豹移动,搜索推广,第三方软件-光影魔术手,8404,506,6.02%,183.9,0.36
2020-12-30,北京猎豹移动,搜索推广,第三方软件-阿里旺旺,4893,348,7.11%,168.21,0.48
2020-12-30,北京猎豹移动,搜索推广,第三方软件-CAJViewer,3897,388,9.96%,160.53,0.41
2020-12-30,北京猎豹移动,搜索推广,第三方软件-teamviewer,5438,456,8.39%,149.75,0.33
2020-12-30,北京猎豹移动,搜索推广,第三方软件-WPS,90814,6308,6.95%,3073.38,0.49
