date,zhanghu,plan,pv,click,cpv,cost,cpc
2020-12-30,ruri38@sina.com,壁纸-游戏,9.3,20,2.150537634408602,162.0,8.1
2020-12-30,ruri38@sina.com,壁纸-天气之子,7.83,17,2.1711366538952745,150.0,8.823529411764707
2020-12-30,ruri38@sina.com,壁纸-汽车,4.05,9,2.2222222222222223,163.0,18.11111111111111
2020-12-30,ruri38@sina.com,壁纸-JOJO,1.8,4,2.2222222222222223,53.0,13.25
2020-12-30,ruri38@sina.com,壁纸-高达壁纸,3.6,8,2.2222222222222223,62.0,7.75
2020-12-30,ruri38@sina.com,壁纸-猫,1.35,3,2.222222222222222,38.0,12.666666666666666
2020-12-30,ruri38@sina.com,壁纸-竞品软件,222.9,478,2.1444593988335576,5374.0,11.242677824267782
2020-12-30,ruri38@sina.com,壁纸-科幻,2.25,5,2.2222222222222223,26.0,5.2
2020-12-30,ruri38@sina.com,壁纸-动态壁纸制作,8.55,19,2.222222222222222,101.0,5.315789473684211
2020-12-30,ruri38@sina.com,壁纸-海洋,1.8,4,2.2222222222222223,26.0,6.5
2020-12-30,ruri38@sina.com,壁纸-星球大战,0.9,2,2.2222222222222223,10.0,5.0
2020-12-30,ruri38@sina.com,壁纸-尼尔机械纪元,0.45,1,2.2222222222222223,29.0,29.0
2020-12-30,ruri38@sina.com,壁纸-魔法少女小圆,0.45,1,2.2222222222222223,10.0,10.0
2020-12-30,ruri38@sina.com,壁纸-古风壁纸,5.64,12,2.127659574468085,141.0,11.75
2020-12-30,ruri38@sina.com,壁纸-时钟,20.25,45,2.2222222222222223,635.0,14.11111111111111
2020-12-30,ruri38@sina.com,壁纸-大海,1.35,3,2.222222222222222,12.0,4.0
2020-12-30,ruri38@sina.com,壁纸-小埋壁纸,0.9,2,2.2222222222222223,38.0,19.0
2020-12-30,ruri38@sina.com,壁纸-灌篮高手,1.35,3,2.222222222222222,46.0,15.333333333333334
2020-12-30,ruri38@sina.com,壁纸-狗狗,0.9,2,2.2222222222222223,4.0,2.0
2020-12-30,ruri38@sina.com,壁纸-蜡笔小新,2.25,5,2.2222222222222223,186.0,37.2
2020-12-30,ruri38@sina.com,壁纸-奥特曼,10.8,24,2.222222222222222,172.0,7.166666666666667
2020-12-30,ruri38@sina.com,壁纸-插画,2.7,6,2.222222222222222,207.0,34.5
2020-12-30,ruri38@sina.com,壁纸-美少女战士,1.8,4,2.2222222222222223,40.0,10.0
2020-12-30,ruri38@sina.com,壁纸-哆啦a梦,8.46,19,2.2458628841607564,199.0,10.473684210526315
2020-12-30,ruri38@sina.com,壁纸-七龙珠壁纸,1.35,3,2.222222222222222,282.0,94.0
2020-12-30,ruri38@sina.com,壁纸-夏目友人帐,2.7,6,2.222222222222222,189.0,31.5
2020-12-30,ruri38@sina.com,壁纸-阿狸,1.35,3,2.222222222222222,60.0,20.0
2020-12-30,ruri38@sina.com,壁纸-神奇宝贝,0.45,1,2.2222222222222223,6.0,6.0
2020-12-30,ruri38@sina.com,壁纸-唯美,49.95,111,2.222222222222222,1159.0,10.441441441441441
2020-12-30,ruri38@sina.com,壁纸-自然景观,10.8,24,2.222222222222222,254.0,10.583333333333334
2020-12-30,ruri38@sina.com,壁纸-紫罗兰永恒花园,1.8,4,2.2222222222222223,24.0,6.0
2020-12-30,ruri38@sina.com,壁纸-屏保,20.18,45,2.2299306243805748,1282.0,28.488888888888887
2020-12-30,ruri38@sina.com,壁纸-柯南,0.45,1,2.2222222222222223,19.0,19.0
2020-12-30,ruri38@sina.com,壁纸-刺客伍六七,0.9,2,2.2222222222222223,18.0,9.0
2020-12-30,ruri38@sina.com,壁纸-篮球,5.77,13,2.2530329289428077,441.0,33.92307692307692
2020-12-30,ruri38@sina.com,壁纸-花,0.45,1,2.2222222222222223,8.0,8.0
2020-12-30,ruri38@sina.com,壁纸-02壁纸,14.45,31,2.1453287197231834,338.0,10.903225806451612
2020-12-30,ruri38@sina.com,壁纸-龙猫壁纸,2.16,5,2.314814814814815,90.0,18.0
2020-12-30,ruri38@sina.com,壁纸-皮卡丘,0.45,1,2.2222222222222223,2.0,2.0
2020-12-30,ruri38@sina.com,壁纸-灵魂莲华,0.9,2,2.2222222222222223,24.0,12.0
2020-12-30,ruri38@sina.com,壁纸-鬼刀,31.02,68,2.1921341070277243,579.0,8.514705882352942
2020-12-30,ruri38@sina.com,壁纸-蕾姆壁纸,4.68,10,2.1367521367521367,90.0,9.0
2020-12-30,ruri38@sina.com,壁纸-文字,1.35,3,2.222222222222222,17.0,5.666666666666667
2020-12-30,ruri38@sina.com,壁纸-天官赐福壁纸,8.1,18,2.2222222222222223,317.0,17.61111111111111
2020-12-30,ruri38@sina.com,壁纸-我的世界,1.35,3,2.222222222222222,45.0,15.0
2020-12-30,ruri38@sina.com,壁纸-斗罗大陆,0.45,1,2.2222222222222223,1.0,1.0
2020-12-30,ruri38@sina.com,壁纸-鬼灭之刃,23.3,50,2.1459227467811157,384.0,7.68
2020-12-30,ruri38@sina.com,壁纸-天行九歌壁纸,1.35,3,2.222222222222222,18.0,6.0
2020-12-30,ruri38@sina.com,壁纸-musedash的壁纸,6.3,14,2.2222222222222223,72.0,5.142857142857143
