日期,百度消费,百度安装,百度成本,搜狗消费,搜狗安装,搜狗成本,总消耗,总安装,总成本
2020-12-01,131.95,79.0,1.67,182.23,176.0,1.04,314.18,255.0,1.23
2020-12-02,243.14,148.0,1.64,175.23,204.0,0.86,418.37,352.0,1.19
2020-12-03,181.1,97.0,1.87,171.36,170.0,1.01,352.47,267.0,1.32
2020-12-04,141.2,73.0,1.93,193.71,157.0,1.23,334.91,230.0,1.46
2020-12-05,0.0,0.0,,105.41,93.0,1.13,105.41,93.0,1.13
2020-12-06,0.0,0.0,,87.5,72.0,1.22,87.5,72.0,1.22
2020-12-07,95.85,39.0,2.46,191.09,164.0,1.17,286.94,203.0,1.41
2020-12-08,71.3,51.0,1.4,180.56,175.0,1.03,251.86,226.0,1.11
2020-12-09,60.0,32.0,1.88,195.61,164.0,1.19,255.61,196.0,1.3
2020-12-10,107.06,54.0,1.98,182.32,172.0,1.06,289.38,226.0,1.28
2020-12-11,113.23,53.0,2.14,160.14,147.0,1.09,273.37,200.0,1.37
2020-12-12,0.0,0.0,,100.76,68.0,1.48,100.76,68.0,1.48
2020-12-13,0.0,0.0,,89.69,73.0,1.23,89.69,73.0,1.23
2020-12-14,150.7,81.0,1.86,172.39,141.0,1.22,323.08,222.0,1.46
2020-12-15,114.54,65.0,1.76,180.16,149.0,1.21,294.7,214.0,1.38
2020-12-16,127.76,64.0,2.0,157.02,121.0,1.3,284.78,185.0,1.54
2020-12-17,71.46,40.0,1.79,140.86,134.0,1.05,212.32,174.0,1.22
2020-12-18,71.78,28.0,2.56,153.6,137.0,1.12,225.38,165.0,1.37
2020-12-19,0.0,0.0,,84.7,80.0,1.06,84.7,80.0,1.06
2020-12-20,0.0,0.0,,67.6,58.0,1.17,67.6,58.0,1.17
