日期,百度消费,百度安装,百度成本,搜狗消耗,搜狗安装,搜狗成本,360消耗,360安装,360成本,总费用,总安装,总成本
2020-12-01,36678.35,45165.0,0.81,28282.67,28159.0,1.0,26005.68,33677.0,0.77,90966.7,107001.0,0.85
2020-12-02,35790.7,44519.0,0.8,27467.7,27371.0,1.0,25702.64,32852.0,0.78,88961.03,104742.0,0.85
2020-12-03,35040.03,43980.0,0.8,25486.29,25522.0,1.0,20830.19,25699.0,0.81,81356.5,95201.0,0.85
2020-12-04,32347.98,40930.0,0.79,26672.94,26441.0,1.01,12368.31,14834.0,0.83,71389.23,82205.0,0.87
2020-12-05,8315.17,11069.0,0.75,22194.17,21807.0,1.02,11787.03,14414.0,0.82,42296.38,47290.0,0.89
2020-12-06,8228.85,10855.0,0.76,19741.61,19249.0,1.03,10491.95,12751.0,0.82,38462.41,42855.0,0.9
2020-12-07,35854.93,44548.0,0.8,25894.23,26080.0,0.99,15589.14,19236.0,0.81,77338.3,89864.0,0.86
2020-12-08,36173.26,44196.0,0.82,26044.2,26649.0,0.98,20280.44,24079.0,0.84,82497.9,94924.0,0.87
2020-12-09,36895.31,45501.0,0.81,27046.6,27542.0,0.98,25288.78,29702.0,0.85,89230.68,102745.0,0.87
2020-12-10,37955.15,46275.0,0.82,25133.32,25601.0,0.98,27309.49,31874.0,0.86,90397.97,103750.0,0.87
2020-12-11,35719.24,42984.0,0.83,24260.55,24605.0,0.99,28913.84,33775.0,0.86,88893.63,101364.0,0.88
2020-12-12,12044.14,15475.0,0.78,22273.17,21909.0,1.02,27056.45,31902.0,0.85,61373.77,69286.0,0.89
2020-12-13,11094.88,14254.0,0.78,21050.04,20652.0,1.02,27511.17,32616.0,0.84,59656.08,67522.0,0.88
2020-12-14,39668.88,47358.0,0.84,25846.79,25943.0,1.0,27536.76,32356.0,0.85,93052.43,105657.0,0.88
2020-12-15,37735.43,45093.0,0.84,25084.95,24749.0,1.01,22321.07,26508.0,0.84,85141.45,96350.0,0.88
2020-12-16,37330.15,44864.0,0.83,24116.07,23863.0,1.01,22669.28,26940.0,0.84,84115.5,95667.0,0.88
2020-12-17,35336.13,42967.0,0.82,23553.36,23849.0,0.99,23073.46,27586.0,0.84,81962.95,94402.0,0.87
2020-12-18,33804.97,40089.0,0.84,24483.17,24639.0,0.99,23420.47,27942.0,0.84,81708.61,92670.0,0.88
2020-12-19,11224.47,14442.0,0.78,20245.29,20296.0,1.0,23615.43,28302.0,0.83,55085.19,63040.0,0.87
2020-12-20,10551.39,11515.0,0.92,17579.11,17522.0,1.0,20466.3,24204.0,0.85,48596.79,53241.0,0.91
