日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,166,101,酷我K歌,3453,1116,0,0,0,1116,0,0,32.32%,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2020-12-30,166,66,万能五笔,3963,2458,0,0,0,2458,1545,1429,62.02%,62.86%,92.49%,36.06%,0,0,,,0,0,0,30,2.10%
2020-12-30,166,83,快用苹果助手,2965,1694,0,0,0,1694,0,0,57.13%,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2020-12-30,166,553,桌面日历,459,181,0,0,0,181,113,104,39.43%,62.43%,92.04%,22.66%,0,0,,,0,0,0,0,0
2020-12-30,166,374,第五人格,55,25,0,0,0,25,24,20,45.45%,96.00%,83.33%,36.36%,0,0,,,0,0,0,0,0
2020-12-30,166,31,酷我音乐,3113,1877,0,0,0,1877,1098,1016,60.30%,58.50%,92.53%,32.64%,0,0,,,0,0,0,36,3.54%
2020-12-30,166,62,ps6,699,289,0,1,1,291,238,218,41.34%,82.35%,91.60%,31.19%,0,0,,,0,0,0,7,3.21%
2020-12-30,166,65,极点五笔,288,179,0,0,0,179,157,147,62.15%,87.71%,93.63%,51.04%,0,0,,,0,0,0,12,8.16%
2020-12-30,166,20,驱动精灵,6070,4079,0,0,0,4079,2783,2589,67.20%,68.23%,93.03%,42.65%,0,0,,,0,0,0,43,1.66%
2020-12-30,166,286,逍遥笔手写输入法,856,487,0,0,0,487,359,342,56.89%,73.72%,95.26%,39.95%,0,0,,,0,0,0,7,2.05%
2020-12-30,166,531,Zoom会议客户端,90,65,0,0,0,65,48,46,72.22%,73.85%,95.83%,51.11%,0,0,,,0,0,0,0,0
2020-12-30,166,336,谷歌浏览器,16592,11162,0,0,0,11162,6287,5823,67.27%,56.33%,92.62%,35.10%,0,0,,,0,0,0,122,2.10%
2020-12-30,166,72,ie11 64,2888,1979,3,6,3,1991,1097,1029,68.63%,55.35%,93.80%,35.63%,0,0,,,0,0,0,25,2.43%
2020-12-30,166,91,靠谱助手-剑侠情缘,11,3,0,0,0,3,0,0,27.27%,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2020-12-30,166,525,迷你世界,1741,1258,0,0,0,1258,671,614,72.26%,53.34%,91.51%,35.27%,0,0,,,0,0,0,40,6.51%
2020-12-30,166,342,WPS-word,9100,5706,0,0,0,5706,3208,2955,62.70%,56.22%,92.11%,32.47%,0,0,,,0,0,0,53,1.79%
2020-12-30,166,28,暴风影音5,1237,872,0,0,0,872,494,449,70.49%,56.65%,90.89%,36.30%,0,0,,,0,0,0,14,3.12%
2020-12-30,166,184,优酷客户端,611,355,0,0,0,355,191,170,58.10%,53.80%,89.01%,27.82%,0,0,,,0,0,0,10,5.88%
2020-12-30,166,42,QQ五笔,553,327,0,0,0,327,230,214,59.13%,70.34%,93.04%,38.70%,0,0,,,0,0,0,0,0
2020-12-30,166,563,Classin,188,124,0,0,0,124,74,71,65.96%,59.68%,95.95%,37.77%,0,0,,,0,0,0,0,0
