date,zhanghu,plan,pv,click,cpv,cost,cpc
2020-12-30,0ji@pingsheme.com,第三方软件-极光PDF阅读器-转换器,58.21,83,1.425871843325889,598.0,7.204819277108434
2020-12-30,0ji@pingsheme.com,第三方软件-极光PDF阅读器-阅读器,631.26,807,1.2783955897728354,4831.0,5.98636926889715
2020-12-30,0ji@pingsheme.com,第三方软件-极光PDF阅读器-其它类,56.21,83,1.4766055861946272,1170.0,14.096385542168674
2020-12-30,0ji@pingsheme.com,第三方软件-极光PDF阅读器-编辑器,2.33,5,2.1459227467811157,26.0,5.2
2020-12-30,0ji@pingsheme.com,第三方软件-极光PDF阅读器-下载类,56.99,80,1.403755044744692,467.0,5.8375
2020-12-30,as570vrst202@163.com,第三方软件-极光PDF转换器,50457.0,466,0.009235586737221793,228.2,0.4896995708154506
2020-12-30,as570vrst202@163.com,第三方软件-极光PDF阅读器,192420.0,3587,0.018641513356199978,3854.06,1.0744521884583218
2020-12-30,beihu1142@hbscp.top,第三方软件-photoshopcs6,5375.0,9,0.0016744186046511627,3.59,0.39888888888888885
2020-12-30,beihu1142@hbscp.top,第三方软件-QQ影音,2342.0,8,0.0034158838599487617,2.45,0.30625
2020-12-30,beihu1142@hbscp.top,第三方软件-微师客户端,309.0,22,0.07119741100323625,7.44,0.3381818181818182
2020-12-30,beihu1142@hbscp.top,公司软件-猎豹免费WIFI,596.0,42,0.07046979865771812,14.76,0.3514285714285714
2020-12-30,beihu1142@hbscp.top,第三方软件-暴风影音,1066.0,54,0.05065666041275797,17.32,0.32074074074074077
2020-12-30,beihu1142@hbscp.top,第三方软件-网易云音乐,1675.0,7,0.00417910447761194,2.1,0.3
2020-12-30,beihu1142@hbscp.top,第三方软件-瞩目,338.0,6,0.01775147928994083,1.94,0.3233333333333333
2020-12-30,beihu1142@hbscp.top,第三方软件-钉钉电脑版,1060.0,1,0.0009433962264150943,0.43,0.43
2020-12-30,beihu1142@hbscp.top,第三方软件-EV录屏,921.0,0,0.0,0.0,
2020-12-30,beihu1142@hbscp.top,第三方软件-芒果TV,100.0,2,0.02,0.64,0.32
2020-12-30,beihu1142@hbscp.top,第三方软件-whatsapp,35.0,3,0.08571428571428572,0.9,0.3
2020-12-30,beihu1142@hbscp.top,第三方软件-阿里旺旺,321.0,4,0.012461059190031152,1.2,0.3
2020-12-30,beihu1142@hbscp.top,第三方软件-FlashPlayer,4853.0,64,0.01318771893674016,23.37,0.36515625
2020-12-30,beihu1142@hbscp.top,第三方软件-Rar解压软件,6205.0,68,0.010958904109589041,23.46,0.34500000000000003
2020-12-30,beihu1142@hbscp.top,第三方软件-WPS-word,9704.0,406,0.041838417147568016,136.62,0.3365024630541872
2020-12-30,beihu1142@hbscp.top,第三方软件-我的世界,7639.0,325,0.04254483571148056,99.27,0.3054461538461538
2020-12-30,beihu1142@hbscp.top,第三方软件-金山打字通,8909.0,379,0.04254125042092266,140.3,0.37018469656992087
2020-12-30,beihu1142@hbscp.top,第三方软件-WPS-excel,17561.0,636,0.036216616365810604,244.0,0.3836477987421384
2020-12-30,beihu1142@hbscp.top,第三方软件-WPS,97752.0,2077,0.021247647106964564,995.35,0.47922484352431394
2020-12-30,beihu1142@hbscp.top,第三方软件-千牛,7736.0,180,0.02326783867631851,76.11,0.42283333333333334
2020-12-30,beihu1142@hbscp.top,第三方软件-美图秀秀,19965.0,125,0.006260956674179815,51.34,0.41072000000000003
2020-12-30,beihu1142@hbscp.top,第三方软件-微信,14231.0,90,0.006324221769376713,27.59,0.3065555555555556
2020-12-30,beihu1142@hbscp.top,第三方软件-QQ,103558.0,69,0.0006662932849224589,24.32,0.35246376811594204
2020-12-30,beihu1142@hbscp.top,第三方软件-万能五笔,3688.0,68,0.01843817787418655,29.35,0.43161764705882355
2020-12-30,beihu1142@hbscp.top,第三方软件-驱动精灵,7204.0,84,0.011660188784008884,34.87,0.4151190476190476
