网页转化,下载器转化,新装和卸载,会员支付,鱼干支付,合计付费
日期,渠道,计划,网页展示,网页点击,点击率,下载器展示,调起率,点击极速安装,安装率,安装成功,成功率,安装成功/网页展示,新装,卸载,卸载率,会员支付人数,会员支付金额,客单价,付费率,鱼干支付人数,鱼干支付金额,客单价,付费率,总客单价,ARPU值
2021-01-05,1002,21,28,7,25.00%,5,71.43%,1,20.00%,5,500.00%,17.86%,4,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,133,2549,1422,55.79%,1009,70.96%,862,85.43%,847,98.26%,33.23%,813,154,18.94%,13,183.0,14.08,1.60%,9,108.0,12.00,1.11%,13.23,0.36
2021-01-05,1002,15,391,288,73.66%,265,92.01%,254,95.85%,252,99.21%,64.45%,236,36,15.25%,8,132.0,16.50,3.39%,2,20.0,10.00,0.85%,15.20,0.64
2021-01-05,1002,105,3,1,33.33%,1,100.00%,0,0.00%,1,None,33.33%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,61,6,5,83.33%,3,60.00%,0,0.00%,3,None,50.00%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,27,19,9,47.37%,5,55.56%,0,0.00%,5,None,26.32%,5,2,40.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,12,38,17,44.74%,8,47.06%,6,75.00%,6,100.00%,15.79%,5,1,20.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,25,5,3,60.00%,2,66.67%,0,0.00%,2,None,40.00%,2,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,161,4,2,50.00%,1,50.00%,1,100.00%,1,100.00%,25.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,41,79,21,26.58%,16,76.19%,0,0.00%,14,None,17.72%,12,3,25.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,53,1,1,100.00%,1,100.00%,0,0.00%,1,None,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,141,4,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,35,35,15,42.86%,12,80.00%,0,0.00%,11,None,31.43%,11,5,45.45%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,4,48,29,60.42%,20,68.97%,0,0.00%,20,None,41.67%,17,3,17.65%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,75,7,3,42.86%,1,33.33%,0,0.00%,1,None,14.29%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1002,117,10,8,80.00%,1,12.50%,1,100.00%,1,100.00%,10.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
