网页转化,下载器转化,新装和卸载,会员支付,鱼干支付,合计付费
日期,渠道,计划,网页展示,网页点击,点击率,下载器展示,调起率,点击极速安装,安装率,安装成功,成功率,安装成功/网页展示,新装,卸载,卸载率,会员支付人数,会员支付金额,客单价,付费率,鱼干支付人数,鱼干支付金额,客单价,付费率,总客单价,ARPU值
2021-01-05,1001,94,2,1,50.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,188,54,31,57.41%,12,38.71%,9,75.00%,9,100.00%,16.67%,9,1,11.11%,None,None,None,None,2,20.0,10.00,22.22%,None,None
2021-01-05,1001,194,7,4,57.14%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,124,5,3,60.00%,1,33.33%,1,100.00%,1,100.00%,20.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,239,57,11,19.30%,6,54.55%,0,0.00%,6,None,10.53%,7,3,42.86%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,241,315,178,56.51%,86,48.31%,0,0.00%,81,None,25.71%,70,13,18.57%,2,18.0,9.00,2.86%,3,30.0,10.00,4.29%,9.60,0.69
2021-01-05,1001,217,192,60,31.25%,19,31.67%,15,78.95%,16,106.67%,8.33%,14,2,14.29%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,138,65,44,67.69%,14,31.82%,12,85.71%,12,100.00%,18.46%,11,1,9.09%,2,346.0,173.00,18.18%,None,None,None,None,None,None
2021-01-05,1001,72,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,84,36,16,44.44%,8,50.00%,0,0.00%,8,None,22.22%,6,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,75,28,13,46.43%,7,53.85%,0,0.00%,6,None,21.43%,6,2,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-05,1001,192,218,142,65.14%,71,50.00%,61,85.92%,59,96.72%,27.06%,58,18,31.03%,2,18.0,9.00,3.45%,3,30.0,10.00,5.17%,9.60,0.83
