编号,日期,账户,推广计划,展示数,点击数,消耗,点击率,点击均价,有消耗词量
总计,--,--,--,352383,44878,20909.93,12.74%,0.47,1616
1,2020-12-30,ruri38@sina.com,壁纸-魔法少女小圆,10,1,0.45,10.00%,0.45,1
2,2020-12-30,ruri38@sina.com,壁纸-布朗熊,22,1,0.45,4.55%,0.45,1
3,2020-12-30,ruri38@sina.com,公司软件-壁纸-动漫,2744,298,135.92,10.86%,0.46,26
4,2020-12-30,ruri38@sina.com,壁纸-02壁纸,338,31,14.45,9.17%,0.47,8
5,2020-12-30,ruri38@sina.com,壁纸-碧蓝航线,34,1,0.47,2.94%,0.47,1
6,2020-12-30,ruri38@sina.com,壁纸-鬼刀,579,68,31.02,11.74%,0.46,12
7,2020-12-30,ruri38@sina.com,壁纸-桌面整理,1007,50,22.91,4.97%,0.46,13
8,2020-12-30,ruri38@sina.com,壁纸-屏保,1282,45,20.18,3.51%,0.45,14
9,2020-12-30,ruri38@sina.com,公司软件-壁纸-英雄联盟,580,52,23.43,8.97%,0.45,19
10,2020-12-30,ruri38@sina.com,壁纸-龙猫壁纸,90,5,2.16,5.56%,0.43,4
11,2020-12-30,ruri38@sina.com,壁纸-鬼灭之刃,384,50,23.30,13.02%,0.47,7
12,2020-12-30,ruri38@sina.com,壁纸-我的世界,45,3,1.35,6.67%,0.45,1
13,2020-12-30,ruri38@sina.com,公司软件-高清壁纸5,7335,1235,577.45,16.84%,0.47,18
14,2020-12-30,ruri38@sina.com,壁纸-CF,31,2,0.90,6.45%,0.45,1
15,2020-12-30,ruri38@sina.com,壁纸-王者,658,30,14.00,4.56%,0.47,4
16,2020-12-30,ruri38@sina.com,壁纸-皮卡丘,2,1,0.45,50.00%,0.45,1
17,2020-12-30,ruri38@sina.com,壁纸-锦鲤壁纸,45,2,0.90,4.44%,0.45,2
18,2020-12-30,ruri38@sina.com,壁纸-天行九歌壁纸,18,3,1.35,16.67%,0.45,3
19,2020-12-30,ruri38@sina.com,壁纸-古风壁纸,141,12,5.64,8.51%,0.47,3
20,2020-12-30,ruri38@sina.com,公司软件-动态壁纸1,4123,649,320.68,15.74%,0.49,31
21,2020-12-30,ruri38@sina.com,壁纸-神奇宝贝,6,1,0.45,16.67%,0.45,1
22,2020-12-30,ruri38@sina.com,壁纸-星空,727,58,26.10,7.98%,0.45,14
23,2020-12-30,ruri38@sina.com,壁纸-一人之下壁纸,2,2,0.90,100.00%,0.45,1
24,2020-12-30,ruri38@sina.com,壁纸-漫威,341,11,5.15,3.23%,0.47,6
25,2020-12-30,ruri38@sina.com,壁纸-时钟,635,45,20.25,7.09%,0.45,21
26,2020-12-30,ruri38@sina.com,壁纸-小林家的龙女仆,2,1,0.45,50.00%,0.45,1
27,2020-12-30,ruri38@sina.com,壁纸-行业词,24674,2868,1375.20,11.62%,0.48,118
28,2020-12-30,ruri38@sina.com,壁纸-ins风,44,9,4.05,20.45%,0.45,6
29,2020-12-30,ruri38@sina.com,公司软件-动态桌面8,1505,369,172.85,24.52%,0.47,8
30,2020-12-30,ruri38@sina.com,壁纸-火影,990,90,42.08,9.09%,0.47,12
31,2020-12-30,ruri38@sina.com,壁纸-小埋壁纸,38,2,0.90,5.26%,0.45,1
32,2020-12-30,ruri38@sina.com,壁纸-唯美,1159,111,49.95,9.58%,0.45,8
33,2020-12-30,ruri38@sina.com,壁纸-卡通壁纸,90,10,4.50,11.11%,0.45,3
34,2020-12-30,ruri38@sina.com,壁纸-动态壁纸制作,101,19,8.55,18.81%,0.45,13
35,2020-12-30,ruri38@sina.com,公司软件-壁纸-美女,780,56,25.78,7.18%,0.46,8
36,2020-12-30,ruri38@sina.com,壁纸-竞品软件,5374,478,222.90,8.89%,0.47,50
37,2020-12-30,ruri38@sina.com,壁纸-大海,12,3,1.35,25.00%,0.45,3
38,2020-12-30,ruri38@sina.com,壁纸-海贼王,1385,176,82.26,12.71%,0.47,26
39,2020-12-30,ruri38@sina.com,壁纸-天气之子,150,17,7.83,11.33%,0.46,3
40,2020-12-30,ruri38@sina.com,壁纸-狗狗,4,2,0.90,50.00%,0.45,1
41,2020-12-30,ruri38@sina.com,壁纸-明日方舟,722,6,2.80,0.83%,0.47,3
42,2020-12-30,ruri38@sina.com,壁纸-自然景观,254,24,10.80,9.45%,0.45,3
43,2020-12-30,ruri38@sina.com,壁纸-小黄人,26,2,0.90,7.69%,0.45,2
44,2020-12-30,ruri38@sina.com,壁纸-二次元动漫,2714,279,130.36,10.28%,0.47,44
45,2020-12-30,ruri38@sina.com,壁纸-游戏,162,20,9.30,12.35%,0.47,8
46,2020-12-30,ruri38@sina.com,壁纸-灵魂莲华,24,2,0.90,8.33%,0.45,1
47,2020-12-30,ruri38@sina.com,壁纸-汽车,163,9,4.05,5.52%,0.45,6
48,2020-12-30,ruri38@sina.com,壁纸-win壁纸,763,91,42.39,11.93%,0.47,34
49,2020-12-30,ruri38@sina.com,公司软件-动态壁纸,3462,1345,591.84,38.85%,0.44,3
50,2020-12-30,ruri38@sina.com,壁纸-哪吒壁纸,2,1,0.45,50.00%,0.45,1
51,2020-12-30,ruri38@sina.com,壁纸-初音未来,108,6,2.70,5.56%,0.45,5
52,2020-12-30,ruri38@sina.com,壁纸-简约,704,152,68.40,21.59%,0.45,6
53,2020-12-30,ruri38@sina.com,壁纸-哈利波特,6,1,0.45,16.67%,0.45,1
54,2020-12-30,ruri38@sina.com,壁纸-鼠标,635,80,35.25,12.60%,0.44,23
55,2020-12-30,ruri38@sina.com,壁纸-动物,31,3,1.35,9.68%,0.45,3
56,2020-12-30,ruri38@sina.com,壁纸-JOJO,53,4,1.80,7.55%,0.45,1
57,2020-12-30,ruri38@sina.com,壁纸-男生壁纸,17,5,2.35,29.41%,0.47,4
58,2020-12-30,ruri38@sina.com,公司软件-电脑壁纸3,16492,2244,1035.79,13.61%,0.46,55
59,2020-12-30,ruri38@sina.com,壁纸-紫罗兰永恒花园,24,4,1.80,16.67%,0.45,2
60,2020-12-30,ruri38@sina.com,壁纸-奥特曼,172,24,10.80,13.95%,0.45,5
61,2020-12-30,ruri38@sina.com,壁纸-高达壁纸,62,8,3.60,12.90%,0.45,4
62,2020-12-30,ruri38@sina.com,壁纸-插画,207,6,2.70,2.90%,0.45,3
63,2020-12-30,ruri38@sina.com,壁纸-绿色护眼,125,10,4.50,8.00%,0.45,7
64,2020-12-30,ruri38@sina.com,壁纸-千与千寻,2,1,0.45,50.00%,0.45,1
65,2020-12-30,ruri38@sina.com,壁纸-壁纸少女心,255,21,9.45,8.24%,0.45,8
66,2020-12-30,ruri38@sina.com,壁纸-猫,38,3,1.35,7.89%,0.45,3
67,2020-12-30,ruri38@sina.com,壁纸-柯南,19,1,0.45,5.26%,0.45,1
68,2020-12-30,ruri38@sina.com,壁纸-魔道祖师,83,3,1.35,3.61%,0.45,3
69,2020-12-30,ruri38@sina.com,壁纸-锁屏壁纸,1814,89,41.49,4.91%,0.47,22
70,2020-12-30,ruri38@sina.com,壁纸-斗罗大陆,1,1,0.45,100.00%,0.45,1
71,2020-12-30,ruri38@sina.com,壁纸-科幻,26,5,2.25,19.23%,0.45,4
72,2020-12-30,ruri38@sina.com,壁纸-阿丽塔壁纸,4,2,0.90,50.00%,0.45,2
73,2020-12-30,ruri38@sina.com,壁纸-哆啦a梦,199,19,8.46,9.55%,0.45,6
74,2020-12-30,ruri38@sina.com,壁纸-你的名字,405,27,12.49,6.67%,0.46,6
75,2020-12-30,ruri38@sina.com,公司软件-电脑桌面壁纸10,4840,670,313.94,13.84%,0.47,17
76,2020-12-30,ruri38@sina.com,壁纸-美少女战士,40,4,1.80,10.00%,0.45,3
77,2020-12-30,ruri38@sina.com,壁纸-只狼壁纸,15,3,1.35,20.00%,0.45,1
78,2020-12-30,ruri38@sina.com,壁纸-海洋,26,4,1.80,15.38%,0.45,3
79,2020-12-30,ruri38@sina.com,壁纸-天官赐福壁纸,317,18,8.10,5.68%,0.45,6
80,2020-12-30,ruri38@sina.com,壁纸-刺客伍六七,18,2,0.90,11.11%,0.45,1
81,2020-12-30,ruri38@sina.com,壁纸-路人女主养成方法,71,3,1.35,4.23%,0.45,3
82,2020-12-30,ruri38@sina.com,壁纸-EVA,33,1,0.45,3.03%,0.45,1
83,2020-12-30,ruri38@sina.com,壁纸-小清新,165,16,7.20,9.70%,0.45,7
84,2020-12-30,ruri38@sina.com,公司软件-壁纸软件7,2829,427,198.45,15.09%,0.46,32
85,2020-12-30,ruri38@sina.com,壁纸-七龙珠壁纸,282,3,1.35,1.06%,0.45,1
86,2020-12-30,ruri38@sina.com,壁纸-文字,17,3,1.35,17.65%,0.45,2
87,2020-12-30,ruri38@sina.com,壁纸-星球大战,10,2,0.90,20.00%,0.45,1
88,2020-12-30,ruri38@sina.com,壁纸-蕾姆壁纸,90,10,4.68,11.11%,0.47,5
89,2020-12-30,ruri38@sina.com,壁纸-篮球,441,13,5.77,2.95%,0.44,7
90,2020-12-30,ruri38@sina.com,壁纸-搞怪搞笑,37,5,2.25,13.51%,0.45,4
91,2020-12-30,ruri38@sina.com,壁纸-4K,2617,330,153.64,12.61%,0.47,23
92,2020-12-30,ruri38@sina.com,壁纸-C罗壁纸,45,1,0.45,2.22%,0.45,1
93,2020-12-30,ruri38@sina.com,公司软件-桌面壁纸4,11153,1517,708.58,13.60%,0.47,34
94,2020-12-30,ruri38@sina.com,壁纸-灌篮高手,46,3,1.35,6.52%,0.45,3
95,2020-12-30,ruri38@sina.com,壁纸-musedash的壁纸,72,14,6.30,19.44%,0.45,3
96,2020-12-30,ruri38@sina.com,壁纸-夏目友人帐,189,6,2.70,3.17%,0.45,3
97,2020-12-30,ruri38@sina.com,壁纸-尼尔机械纪元,29,1,0.45,3.45%,0.45,1
98,2020-12-30,ruri38@sina.com,壁纸-花,8,1,0.45,12.50%,0.45,1
99,2020-12-30,ruri38@sina.com,壁纸-爱情,37,8,3.60,21.62%,0.45,5
100,2020-12-30,ruri38@sina.com,壁纸-fate,108,9,4.21,8.33%,0.47,5
101,2020-12-30,ruri38@sina.com,壁纸-DNF壁纸,188,18,8.10,9.57%,0.45,4
102,2020-12-30,ruri38@sina.com,公司软件-电脑桌面9,1391,128,58.67,9.20%,0.46,3
103,2020-12-30,ruri38@sina.com,壁纸-蜡笔小新,186,5,2.25,2.69%,0.45,2
104,2020-12-30,ruri38@sina.com,壁纸-阿狸,60,3,1.35,5.00%,0.45,1
105,2020-12-29,ruri38@sina.com,壁纸-龙猫壁纸,66,8,3.60,12.12%,0.45,7
106,2020-12-29,ruri38@sina.com,壁纸-fate,107,7,3.23,6.54%,0.46,5
107,2020-12-29,ruri38@sina.com,壁纸-百变小樱,18,1,0.45,5.56%,0.45,1
108,2020-12-29,ruri38@sina.com,壁纸-尼尔机械纪元,6,1,0.45,16.67%,0.45,1
109,2020-12-29,ruri38@sina.com,壁纸-屏保,1151,54,24.02,4.69%,0.44,13
110,2020-12-29,ruri38@sina.com,公司软件-壁纸-英雄联盟,599,51,23.69,8.51%,0.46,20
111,2020-12-29,ruri38@sina.com,壁纸-罪恶王冠,10,2,0.90,20.00%,0.45,2
112,2020-12-29,ruri38@sina.com,公司软件-高清壁纸5,8143,1330,622.14,16.33%,0.47,21
113,2020-12-29,ruri38@sina.com,壁纸-碧蓝航线,20,1,0.47,5.00%,0.47,1
