日期,推广账户,产品线,推广计划,展示次数,点击次数,点击率,总费用,平均每次点击费用
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-罪恶王冠,40,2,5%,0.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-少女,75,2,2.67%,0.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-王者,1022,32,3.13%,9.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-詹姆斯壁纸,760,33,4.34%,9.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-阿丽塔壁纸,184,1,0.54%,0.3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-天气之子,599,34,5.68%,10.2,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-锁屏壁纸,712,28,3.93%,8.4,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-游戏,308,27,8.77%,8.05,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-JOJO,237,21,8.86%,6.3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-紫罗兰永恒花园,378,20,5.29%,6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-刺客伍六七,349,22,6.3%,6.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-七龙珠壁纸,578,23,3.98%,6.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-天官赐福壁纸,795,25,3.14%,7.45,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-高达壁纸,105,3,2.86%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-musedash的壁纸,260,42,16.15%,12.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-初音未来,3367,175,5.2%,52.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-公主连结壁纸,10,1,10%,0.3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,公司软件-壁纸-英雄联盟,2663,178,6.68%,53.42,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-4K,2346,200,8.53%,60,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,公司软件-壁纸-美女,2944,227,7.71%,68.1,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-简约,738,144,19.51%,43.2,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-愤怒的小鸟,56,1,1.79%,0.3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-02壁纸,767,47,6.13%,14.1,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-fate,631,45,7.13%,13.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-进击的巨人,6927,50,0.72%,15,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-win壁纸,1408,94,6.68%,29.19,0.31
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-漫威,1780,102,5.73%,30.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-洛天依壁纸,55,2,3.64%,0.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-我的世界,341,19,5.57%,5.7,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-科幻,114,5,4.39%,1.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-尼尔机械纪元,56,3,5.36%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-银魂,28,3,10.71%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-百变小樱,103,5,4.85%,1.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-海洋,173,5,2.89%,1.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-小黄人,91,3,3.3%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-天行九歌壁纸,86,3,3.49%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-樱花,89,3,3.37%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-DNF壁纸,37,3,8.11%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-蜘蛛侠壁纸,50,3,6%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-斗罗大陆,60,3,5%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-哈利波特,71,4,5.63%,1.2,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-明日方舟,343,5,1.46%,1.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-言叶之庭,94,6,6.38%,1.8,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-动态壁纸制作,284,13,4.58%,3.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-EVA,39,2,5.13%,0.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-碧蓝航线,122,14,11.48%,4.2,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-汽车,351,15,4.27%,4.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-灵魂莲华,66,2,3.03%,0.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-小埋壁纸,147,10,6.8%,3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-魔兽世界,53,2,3.77%,0.6,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-宇宙,103,6,5.83%,1.8,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-梅西壁纸,76,6,7.89%,1.8,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-桌面整理,425,6,1.41%,1.8,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-只狼壁纸,81,7,8.64%,2.1,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-布朗熊,161,3,1.86%,0.9,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-CF,33,1,3.03%,0.3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-蕾姆壁纸,1295,41,3.17%,12.3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,公司软件-桌面壁纸4,17923,2443,13.63%,732.85,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-火影,5552,365,6.57%,109.35,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-黑岩射手,8,0,0%,0,0
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-鬼灭之刃,4652,359,7.72%,107.7,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-小林家的龙女仆,8,0,0%,0,0
2020-12-30,gtluw5781uif3@163.com,搜索推广,公司软件-动态桌面8,57504,3528,6.14%,1086.56,0.31
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-二次元动漫,44193,2728,6.17%,818.3,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-竞品软件,30831,1259,4.08%,427.99,0.34
2020-12-30,gtluw5781uif3@163.com,搜索推广,公司软件-高清壁纸5,4312,395,9.16%,118.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-守望先锋,6,0,0%,0,0
2020-12-30,gtluw5781uif3@163.com,搜索推广,公司软件-壁纸-动漫,10528,493,4.68%,147.7,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-鼠标,7478,507,6.78%,152.68,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-海贼王,8366,700,8.37%,209.95,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-星球大战,8,0,0%,0,0
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-屏保,7627,425,5.57%,127.5,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,公司软件-动态壁纸,10681,956,8.95%,286.81,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-鬼刀,4770,334,7%,100.15,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,公司软件-动态壁纸1,39988,1856,4.64%,556.59,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-你的名字,7096,290,4.09%,87,0.3
2020-12-30,gtluw5781uif3@163.com,搜索推广,壁纸-变形金刚,10,0,0%,0,0
