日期,产品,渠道号,渠道名称,渠道商店,新增,1日留存,7日留存
2021-01-01,降温精灵,700156,今日头条-云锐,信息流,1,100.00%,100.00%
2021-01-01,降温精灵,700568,橙芯科技,联盟,3,66.67%,0.00%
2021-01-01,降温精灵,700006,百度-降温精灵,三方市场,1,None,None
2021-01-01,降温精灵,700491,优优互联,信息流,3,None,None
2021-01-01,降温精灵,700626,快手-天拓,信息流,1,None,None
2021-01-01,降温精灵,700000,应用宝-降温精灵,三方市场,56,62.50%,21.43%
2021-01-01,降温精灵,700273,今日头条-优联达,信息流,6,33.33%,33.33%
2021-01-01,降温精灵,700205,广点通-辉煌明天,信息流,1,None,None
2021-01-01,降温精灵,700585,今日头条-舜风,信息流,1,None,None
2021-01-01,降温精灵,700008,魅族-降温精灵,厂商商店免费,279,48.39%,16.85%
2021-01-01,降温精灵,700493,今日头条-舜风,信息流,1,None,None
2021-01-01,降温精灵,700628,快手-天拓,信息流,1,None,None
2021-01-01,降温精灵,700002,小米-降温精灵,厂商商店免费,111,51.35%,25.23%
2021-01-01,降温精灵,700274,今日头条-优联达,信息流,2,None,None
2021-01-01,降温精灵,700591,今日头条-舜风,信息流,2,50.00%,0.00%
2021-01-01,降温精灵,700238,今日头条-辉煌明天,信息流,1,None,None
2021-01-01,降温精灵,700042,今日头条-辉煌明天,信息流,2,None,None
2021-01-01,降温精灵,700499,今日头条-舜风,信息流,8,12.50%,0.00%
2021-01-01,降温精灵,700633,小米-微创,信息流,2,None,None
2021-01-01,降温精灵,700003,华为-降温精灵,厂商商店免费,144,52.78%,22.22%
2021-01-01,降温精灵,700342,广点通—贝壳,信息流,1,None,None
2021-01-01,降温精灵,700618,小米-微创,信息流,1,None,None
2021-01-01,降温精灵,700241,今日头条-优联达,信息流,3,None,None
2021-01-01,降温精灵,700080,广点通-西藏亦复,信息流,1,None,None
2021-01-01,降温精灵,700534,魅族-星火,信息流,21,38.10%,28.57%
2021-01-01,降温精灵,700635,优优互联,信息流,1,None,None
2021-01-01,降温精灵,700004,oppo-降温精灵,厂商商店免费,333,63.06%,30.93%
2021-01-01,降温精灵,700345,广点通—贝壳,信息流,1,None,None
2021-01-01,降温精灵,700619,小米-微创,信息流,7,14.29%,0.00%
2021-01-01,降温精灵,700244,今日头条-优联达,信息流,5,20.00%,0.00%
2021-01-01,降温精灵,700082,广点通-西藏亦复,信息流,1,None,None
2021-01-01,降温精灵,700567,橙芯科技,联盟,9,44.44%,11.11%
2021-01-01,降温精灵,700648,小米-微创,信息流,1,None,None
