日期,渠道,展示次数,点击次数,总费用,实际消费,点击单价,C点击率TR
2020-12-01,166.0,138663,2712,655.89,546.58,0.24,0.019558209471885073
2020-12-02,166.0,148052,3144,746.08,621.73,0.24,0.021235782022532623
2020-12-03,166.0,122608,3079,739.08,615.9,0.24,0.025112553830092654
2020-12-04,166.0,123009,3020,714.97,595.81,0.24,0.024551049110227707
2020-12-05,166.0,1,1,0.35,0.29,0.35,1.0
2020-12-07,166.0,150688,2999,658.53,548.78,0.22,0.019902049267360375
2020-12-07,186.0,321,19,8.55,6.11,0.45,0.059190031152647975
2020-12-07,216.0,2561,114,43.54,36.28,0.38,0.04451386177274502
2020-12-08,166.0,152509,4059,930.23,775.19,0.23,0.026614822731773208
2020-12-08,186.0,2874,126,56.54,40.39,0.45,0.04384133611691023
2020-12-08,216.0,31752,1700,636.76,530.63,0.37,0.05353993449231544
2020-12-09,166.0,162455,5006,1211.0,1009.17,0.24,0.03081468714413222
2020-12-09,186.0,4296,156,69.96,49.97,0.45,0.036312849162011177
2020-12-09,216.0,59045,3919,1466.44,1222.03,0.37,0.06637310525870099
2020-12-10,166.0,192032,5649,1347.17,1122.64,0.24,0.029416972171304782
2020-12-10,186.0,4720,225,100.93,72.09,0.45,0.04766949152542373
2020-12-10,216.0,57592,4229,1585.81,1321.51,0.37,0.07343033754688151
2020-12-11,166.0,167211,5256,1241.16,1034.3,0.24,0.03143333871575434
2020-12-11,186.0,5833,254,113.57,81.12,0.45,0.04354534544831133
2020-12-11,216.0,62722,4706,1762.41,1468.68,0.37,0.07502949523293262
2020-12-12,166.0,137033,4642,1131.47,942.89,0.24,0.03387505199477498
2020-12-12,186.0,5424,214,95.94,68.53,0.45,0.039454277286135694
2020-12-12,216.0,60123,4514,1694.69,1412.24,0.38,0.07507942052126475
2020-12-13,166.0,127268,4074,981.72,818.1,0.24,0.03201118898701952
2020-12-13,186.0,3716,200,89.55,63.96,0.45,0.05382131324004306
2020-12-13,216.0,54536,3895,1465.48,1221.23,0.38,0.07142071292357342
2020-12-14,166.0,147496,5405,1289.99,1074.99,0.24,0.03664506156099148
2020-12-14,186.0,4214,208,93.32,66.66,0.45,0.04935927859515899
2020-12-14,216.0,45166,3053,1149.91,958.26,0.38,0.06759509365451889
2020-12-15,166.0,123328,5172,1240.05,1033.38,0.24,0.0419369486248054
2020-12-15,186.0,4086,206,92.5,66.07,0.45,0.050416054821341164
2020-12-15,216.0,58749,3688,1389.05,1056.55,0.38,0.06277553660487838
2020-12-16,166.0,134314,5155,1234.14,1028.45,0.24,0.038380213529490594
2020-12-16,186.0,3158,182,81.66,58.33,0.45,0.05763141228625712
2020-12-16,216.0,73468,4708,1770.66,1314.45,0.38,0.0640823215549627
2020-12-17,166.0,133914,5155,1343.45,1119.54,0.26,0.03849485490688054
2020-12-17,186.0,3631,208,93.08,66.49,0.45,0.05728449462957863
2020-12-17,216.0,74251,4786,1797.37,1321.16,0.38,0.06445704434957104
2020-12-18,0.0,853,26,9.76,0.0,0.38,0.03048065650644783
2020-12-18,166.0,123152,5329,1430.45,1192.04,0.27,0.04327172924516045
2020-12-18,186.0,3079,199,89.27,63.76,0.45,0.0646313738226697
2020-12-18,216.0,70224,3827,1435.6499999999999,1048.65,0.38,0.05449703804966963
2020-12-19,166.0,104742,4621,1265.76,1054.8,0.27,0.04411792786083901
2020-12-19,186.0,2746,156,69.92,49.94,0.45,0.05680990531682447
2020-12-19,216.0,60667,3073,1146.44,837.38,0.37,0.050653567837539354
2020-12-20,166.0,97519,4086,1115.84,929.87,0.27,0.04189952727160861
2020-12-20,186.0,2378,120,53.93,38.52,0.45,0.050462573591253154
2020-12-20,216.0,54166,2807,1047.85,763.59,0.37,0.051822176272938746
